Fecha,Hora de salida,Lugar de Origen,Lugar de Destino,ID,Coord Origen,Coord Destino,Origen Lat,Origen Lon,Destino Lat,Destino Lon
2024-06-01,12:52:00,Mirador Kuntur Wasi Puno,Parque San Román Puno,14,"(-15.8471356, -70.0299513)","(-15.841093, -70.029431)",-15.8471356,-70.0299513,-15.841093,-70.029431
2024-06-01,12:58:00,Estadio Enrique Torres Belón,Instituto de Educación Superior Tecnológico Público Puno,15,"(-15.8370214, -70.0219969)","(-15.882774, -69.999663)",-15.8370214,-70.0219969,-15.882774,-69.999663
2024-06-01,13:23:00,Salcedo Puno,Colegio Adventista Puno,16,"(-15.8687992, -69.9986595)","(-15.8366071, -70.0291852)",-15.8687992,-69.9986595,-15.8366071,-70.0291852
2024-06-01,13:44:00,Instituto Americano de Arte Puno,Avenida Floral Puno,17,"(-15.836384, -70.027622)","(-15.8268687, -70.0141471)",-15.836384,-70.027622,-15.8268687,-70.0141471
2024-06-01,14:16:00,Hostal Mirador Korichasca Puno,Terminal Zonal Sur Puno,18,"(-15.8524836, -70.0261856)","(-15.8477879, -70.0149008)",-15.8524836,-70.0261856,-15.8477879,-70.0149008
2024-06-01,15:00:00,Hotel Libertador Lago Titicaca Puno,Urbanización Bellavista Puno,19,"(-15.827961, -69.993105)","(-15.832755, -70.022242)",-15.827961,-69.993105,-15.832755,-70.022242
2024-06-01,15:41:00,Hostal Mirador Korichasca Puno,Urbanización Alto Puno,20,"(-15.8524836, -70.0261856)","(-15.814292, -70.031918)",-15.8524836,-70.0261856,-15.814292,-70.031918
2024-06-01,16:15:00,Hotel Sonesta Posadas del Inca Puno,Universidad Andina Néstor Cáceres Velásquez Puno,21,"(-15.8241171, -70.0050901)","(-15.8421779, -70.0236583)",-15.8241171,-70.0050901,-15.8421779,-70.0236583
2024-06-01,16:30:00,Parque Mariátegui Puno,Urbanización Alto Puno,22,"(-15.8393597, -70.0245754)","(-15.814292, -70.031918)",-15.8393597,-70.0245754,-15.814292,-70.031918
2024-06-01,17:13:00,Universidad Andina Néstor Cáceres Velásquez Puno,Cementerio Laykakota Puno,23,"(-15.8421779, -70.0236583)","(-15.8492522, -70.0210575)",-15.8421779,-70.0236583,-15.8492522,-70.0210575
2024-06-01,17:32:00,Terminal Zonal Sur Puno,Plaza Vea Puno,24,"(-15.8477879, -70.0149008)","(-15.83636, -70.025604)",-15.8477879,-70.0149008,-15.83636,-70.025604
2024-06-01,17:42:00,Urbanización Alto Puno,Mirador Puma Uta Puno,25,"(-15.814292, -70.031918)","(-15.8202693, -70.0287285)",-15.814292,-70.031918,-15.8202693,-70.0287285
2024-06-01,18:45:00,Terminal Zonal Sur Puno,Universidad Andina Néstor Cáceres Velásquez Puno,26,"(-15.8477879, -70.0149008)","(-15.8421779, -70.0236583)",-15.8477879,-70.0149008,-15.8421779,-70.0236583
2024-06-01,19:19:00,Hospital III EsSalud Puno,Mirador Kuntur Wasi Puno,27,"(-15.8734615, -70.0004113)","(-15.8471356, -70.0299513)",-15.8734615,-70.0004113,-15.8471356,-70.0299513
2024-06-01,19:27:00,Av. Costanera Puno,Ministerio de Cultura Puno,28,"(-15.8399095, -70.0176539)","(-15.842631, -70.028915)",-15.8399095,-70.0176539,-15.842631,-70.028915
2024-06-01,20:13:00,Municipalidad Provincial de Puno,Instituto Americano de Arte Puno,29,"(-15.840283, -70.028314)","(-15.836384, -70.027622)",-15.840283,-70.028314,-15.836384,-70.027622
2024-06-01,20:24:00,Puerto Lacustre Puno,Urbanización Huajsapata Puno,30,"(-15.835401, -70.014945)","(-15.842445, -70.032551)",-15.835401,-70.014945,-15.842445,-70.032551
2024-06-01,20:59:00,Instituto Americano de Arte Puno,Mirador Puma Uta Puno,31,"(-15.836384, -70.027622)","(-15.8202693, -70.0287285)",-15.836384,-70.027622,-15.8202693,-70.0287285
2024-06-01,21:13:00,Urbanización Huajsapata Puno,Parque San Román Puno,32,"(-15.842445, -70.032551)","(-15.841093, -70.029431)",-15.842445,-70.032551,-15.841093,-70.029431
2024-06-01,21:26:00,Universidad Nacional del Altiplano,Urbanización Salcedo Puno,33,"(-15.8242768, -70.0161264)","(-15.8724851, -69.9928585)",-15.8242768,-70.0161264,-15.8724851,-69.9928585
2024-06-01,22:42:00,Colegio María Auxiliadora Puno,Instituto Americano de Arte Puno,34,"(-15.8379872, -70.0329811)","(-15.836384, -70.027622)",-15.8379872,-70.0329811,-15.836384,-70.027622
2024-06-02,05:25:00,Plaza Mayor de Puno,Mirador Kuntur Wasi Puno,35,"(-15.8405942, -70.0279834)","(-15.8471356, -70.0299513)",-15.8405942,-70.0279834,-15.8471356,-70.0299513
2024-06-02,05:43:00,Mirador Kuntur Wasi Puno,Cementerio Yanamayo Puno,36,"(-15.8471356, -70.0299513)","(-15.8096272, -70.0300562)",-15.8471356,-70.0299513,-15.8096272,-70.0300562
2024-06-02,05:47:00,Puerto Lacustre Puno,Hotel Sonesta Posadas del Inca Puno,37,"(-15.835401, -70.014945)","(-15.8241171, -70.0050901)",-15.835401,-70.014945,-15.8241171,-70.0050901
2024-06-02,06:34:00,Complejo Deportivo Alto Llavini Puno,Instituto de Educación Superior Tecnológico Público Puno,38,"(-15.81855, -70.025004)","(-15.882774, -69.999663)",-15.81855,-70.025004,-15.882774,-69.999663
2024-06-02,07:55:00,Colegio Glorioso San Carlos Puno,Jayllihuaya Puno,39,"(-15.8348219, -70.0245958)","(-15.8787471, -69.9751057)",-15.8348219,-70.0245958,-15.8787471,-69.9751057
2024-06-02,09:04:00,Estadio Enrique Torres Belón,Hotel Libertador Lago Titicaca Puno,40,"(-15.8370214, -70.0219969)","(-15.827961, -69.993105)",-15.8370214,-70.0219969,-15.827961,-69.993105
2024-06-02,09:15:00,Universidad Nacional del Altiplano,Hotel Libertador Lago Titicaca Puno,41,"(-15.8242768, -70.0161264)","(-15.827961, -69.993105)",-15.8242768,-70.0161264,-15.827961,-69.993105
2024-06-02,10:06:00,Jr. Lima Puno,Parque del Niño Puno,42,"(-15.838756, -70.02816)","(-15.858797, -70.012071)",-15.838756,-70.02816,-15.858797,-70.012071
2024-06-02,10:45:00,Av. Costanera Puno,Plaza Mayor de Puno,43,"(-15.8399095, -70.0176539)","(-15.8405942, -70.0279834)",-15.8399095,-70.0176539,-15.8405942,-70.0279834
2024-06-02,12:11:00,Parque Mariátegui Puno,Hotel Libertador Lago Titicaca Puno,44,"(-15.8393597, -70.0245754)","(-15.827961, -69.993105)",-15.8393597,-70.0245754,-15.827961,-69.993105
2024-06-02,14:32:00,Hospital Regional Manuel Núñez Butrón,Terminal Zonal Sur Puno,45,"(-15.841852, -70.021574)","(-15.8477879, -70.0149008)",-15.841852,-70.021574,-15.8477879,-70.0149008
2024-06-02,15:18:00,Terminal Terrestre Puno,Gran Unidad Escolar San Carlos Puno,46,"(-15.843678, -70.017225)","(-15.840115, -70.025425)",-15.843678,-70.017225,-15.840115,-70.025425
2024-06-02,17:02:00,Parque del Niño Puno,Avenida Floral Puno,47,"(-15.858797, -70.012071)","(-15.8268687, -70.0141471)",-15.858797,-70.012071,-15.8268687,-70.0141471
2024-06-02,17:04:00,Gran Unidad Escolar San Carlos Puno,Parque Pino Puno,48,"(-15.840115, -70.025425)","(-15.8378073, -70.0280672)",-15.840115,-70.025425,-15.8378073,-70.0280672
2024-06-02,17:43:00,Urbanización Bellavista Puno,Plaza Vea Puno,49,"(-15.832755, -70.022242)","(-15.83636, -70.025604)",-15.832755,-70.022242,-15.83636,-70.025604
2024-06-02,17:45:00,Centro de Salud Metropolitano Puno,Urbanización Bellavista Puno,50,"(-15.8434283, -70.0213117)","(-15.832755, -70.022242)",-15.8434283,-70.0213117,-15.832755,-70.022242
2024-06-02,18:33:00,Plaza Vea Puno,Gran Unidad Escolar San Carlos Puno,51,"(-15.83636, -70.025604)","(-15.840115, -70.025425)",-15.83636,-70.025604,-15.840115,-70.025425
2024-06-02,18:43:00,Puerto Lacustre Puno,Urbanización Huajsapata Puno,52,"(-15.835401, -70.014945)","(-15.842445, -70.032551)",-15.835401,-70.014945,-15.842445,-70.032551
2024-06-02,18:44:00,Terminal Zonal Sur Puno,Colegio Adventista Puno,53,"(-15.8477879, -70.0149008)","(-15.8366071, -70.0291852)",-15.8477879,-70.0149008,-15.8366071,-70.0291852
2024-06-02,19:18:00,Mercado Laykakota Puno,Av. Costanera Puno,54,"(-15.8465279, -70.0207765)","(-15.8399095, -70.0176539)",-15.8465279,-70.0207765,-15.8399095,-70.0176539
2024-06-02,19:36:00,Urbanización Chanu Chanu Puno,Parque del Periodista Puno,55,"(-15.8603257, -70.013686)","(-15.839012, -70.023311)",-15.8603257,-70.013686,-15.839012,-70.023311
2024-06-02,19:42:00,Gobierno Regional de Puno,Mercado Bellavista Puno,56,"(-15.8400211, -70.0276698)","(-15.8335335, -70.0233376)",-15.8400211,-70.0276698,-15.8335335,-70.0233376
2024-06-02,19:47:00,Hospital III EsSalud Puno,Avenida La Torre Puno,57,"(-15.8734615, -70.0004113)","(-15.8336052, -70.0276202)",-15.8734615,-70.0004113,-15.8336052,-70.0276202
2024-06-02,19:51:00,Institución Educativa San Juan Bautista Puno,Av. Costanera Puno,58,"(-15.840051, -70.0298054)","(-15.8399095, -70.0176539)",-15.840051,-70.0298054,-15.8399095,-70.0176539
2024-06-02,21:34:00,Jr. Tarapacá Puno,Terminal Zonal Sur Puno,59,"(-15.83755, -70.029158)","(-15.8477879, -70.0149008)",-15.83755,-70.029158,-15.8477879,-70.0149008
2024-06-02,21:57:00,Hotel Libertador Lago Titicaca Puno,Jayllihuaya Puno,60,"(-15.827961, -69.993105)","(-15.8787471, -69.9751057)",-15.827961,-69.993105,-15.8787471,-69.9751057
2024-06-02,22:55:00,Estadio Enrique Torres Belón,Avenida La Torre Puno,61,"(-15.8370214, -70.0219969)","(-15.8336052, -70.0276202)",-15.8370214,-70.0219969,-15.8336052,-70.0276202
2024-06-03,05:00:00,Hospital III EsSalud Puno,Estadio Enrique Torres Belón,62,"(-15.8734615, -70.0004113)","(-15.8370214, -70.0219969)",-15.8734615,-70.0004113,-15.8370214,-70.0219969
2024-06-03,05:10:00,Gobierno Regional de Puno,Puerto Lacustre Puno,63,"(-15.8400211, -70.0276698)","(-15.835401, -70.014945)",-15.8400211,-70.0276698,-15.835401,-70.014945
2024-06-03,05:12:00,Centro de Salud Metropolitano Puno,Terminal Zonal Sur Puno,64,"(-15.8434283, -70.0213117)","(-15.8477879, -70.0149008)",-15.8434283,-70.0213117,-15.8477879,-70.0149008
2024-06-03,06:44:00,Parque San Román Puno,Jr. Los Incas Puno,65,"(-15.841093, -70.029431)","(-15.836837, -70.024882)",-15.841093,-70.029431,-15.836837,-70.024882
2024-06-03,07:36:00,Senati Puno,Terminal Zonal Sur Puno,66,"(-15.8699536, -69.9988485)","(-15.8477879, -70.0149008)",-15.8699536,-69.9988485,-15.8477879,-70.0149008
2024-06-03,07:50:00,Avenida El Sol Puno,Hotel Sonesta Posadas del Inca Puno,67,"(-15.8458219, -70.0202123)","(-15.8241171, -70.0050901)",-15.8458219,-70.0202123,-15.8241171,-70.0050901
2024-06-03,07:51:00,Senati Puno,Parque del Niño Puno,68,"(-15.8699536, -69.9988485)","(-15.858797, -70.012071)",-15.8699536,-69.9988485,-15.858797,-70.012071
2024-06-03,08:35:00,Parque Pino Puno,Hotel Libertador Lago Titicaca Puno,69,"(-15.8378073, -70.0280672)","(-15.827961, -69.993105)",-15.8378073,-70.0280672,-15.827961,-69.993105
2024-06-03,13:30:00,Universidad Nacional del Altiplano,Polideportivo Chanu Chanu Puno,70,"(-15.8242768, -70.0161264)","(-15.856024, -70.011223)",-15.8242768,-70.0161264,-15.856024,-70.011223
2024-06-03,13:33:00,Parque del Periodista Puno,Urbanización Salcedo Puno,71,"(-15.839012, -70.023311)","(-15.8724851, -69.9928585)",-15.839012,-70.023311,-15.8724851,-69.9928585
2024-06-03,13:42:00,Jr. Los Incas Puno,Institución Educativa San Juan Bautista Puno,72,"(-15.836837, -70.024882)","(-15.840051, -70.0298054)",-15.836837,-70.024882,-15.840051,-70.0298054
2024-06-03,13:44:00,Avenida La Torre Puno,Mirador Puma Uta Puno,73,"(-15.8336052, -70.0276202)","(-15.8202693, -70.0287285)",-15.8336052,-70.0276202,-15.8202693,-70.0287285
2024-06-03,14:09:00,Colegio Glorioso San Carlos Puno,Parque Pino Puno,74,"(-15.8348219, -70.0245958)","(-15.8378073, -70.0280672)",-15.8348219,-70.0245958,-15.8378073,-70.0280672
2024-06-03,16:37:00,Jayllihuaya Puno,Municipalidad Provincial de Puno,75,"(-15.8787471, -69.9751057)","(-15.840283, -70.028314)",-15.8787471,-69.9751057,-15.840283,-70.028314
2024-06-03,17:37:00,Colegio Adventista Puno,Urbanización Huajsapata Puno,76,"(-15.8366071, -70.0291852)","(-15.842445, -70.032551)",-15.8366071,-70.0291852,-15.842445,-70.032551
2024-06-03,18:19:00,Polideportivo Chanu Chanu Puno,Terminal Zonal Sur Puno,77,"(-15.856024, -70.011223)","(-15.8477879, -70.0149008)",-15.856024,-70.011223,-15.8477879,-70.0149008
2024-06-03,18:20:00,Urbanización Chanu Chanu Puno,Senati Puno,78,"(-15.8603257, -70.013686)","(-15.8699536, -69.9988485)",-15.8603257,-70.013686,-15.8699536,-69.9988485
2024-06-03,18:36:00,Plaza Mayor de Puno,Parque del Periodista Puno,79,"(-15.8405942, -70.0279834)","(-15.839012, -70.023311)",-15.8405942,-70.0279834,-15.839012,-70.023311
2024-06-03,18:54:00,Mercado Unión y Dignidad Puno,Terminal Terrestre Puno,80,"(-15.840089, -70.0193667)","(-15.843678, -70.017225)",-15.840089,-70.0193667,-15.843678,-70.017225
2024-06-03,19:00:00,Hotel Sonesta Posadas del Inca Puno,Municipalidad Provincial de Puno,81,"(-15.8241171, -70.0050901)","(-15.840283, -70.028314)",-15.8241171,-70.0050901,-15.840283,-70.028314
2024-06-03,19:30:00,Urbanización Bellavista Puno,Universidad Nacional del Altiplano,82,"(-15.832755, -70.022242)","(-15.8242768, -70.0161264)",-15.832755,-70.022242,-15.8242768,-70.0161264
2024-06-03,19:50:00,Centro de Salud Metropolitano Puno,Puerto Lacustre Puno,83,"(-15.8434283, -70.0213117)","(-15.835401, -70.014945)",-15.8434283,-70.0213117,-15.835401,-70.014945
2024-06-03,20:19:00,Plaza Mayor de Puno,Senati Puno,84,"(-15.8405942, -70.0279834)","(-15.8699536, -69.9988485)",-15.8405942,-70.0279834,-15.8699536,-69.9988485
2024-06-03,22:06:00,Av. Costanera Puno,Avenida Floral Puno,85,"(-15.8399095, -70.0176539)","(-15.8268687, -70.0141471)",-15.8399095,-70.0176539,-15.8268687,-70.0141471
2024-06-04,05:22:00,Polideportivo Chanu Chanu Puno,Senati Puno,86,"(-15.856024, -70.011223)","(-15.8699536, -69.9988485)",-15.856024,-70.011223,-15.8699536,-69.9988485
2024-06-04,06:13:00,Urbanización Huajsapata Puno,Parque del Niño Puno,87,"(-15.842445, -70.032551)","(-15.858797, -70.012071)",-15.842445,-70.032551,-15.858797,-70.012071
2024-06-04,06:42:00,Cementerio Laykakota Puno,Institución Educativa San Juan Bautista Puno,88,"(-15.8492522, -70.0210575)","(-15.840051, -70.0298054)",-15.8492522,-70.0210575,-15.840051,-70.0298054
2024-06-04,07:25:00,Mercado Unión y Dignidad Puno,Instituto Americano de Arte Puno,89,"(-15.840089, -70.0193667)","(-15.836384, -70.027622)",-15.840089,-70.0193667,-15.836384,-70.027622
2024-06-04,07:36:00,Gobierno Regional de Puno,Puerto Lacustre Puno,90,"(-15.8400211, -70.0276698)","(-15.835401, -70.014945)",-15.8400211,-70.0276698,-15.835401,-70.014945
2024-06-04,07:48:00,Mercado Bellavista Puno,Avenida El Sol Puno,91,"(-15.8335335, -70.0233376)","(-15.8458219, -70.0202123)",-15.8335335,-70.0233376,-15.8458219,-70.0202123
2024-06-04,07:52:00,Municipalidad Provincial de Puno,Mirador Kuntur Wasi Puno,92,"(-15.840283, -70.028314)","(-15.8471356, -70.0299513)",-15.840283,-70.028314,-15.8471356,-70.0299513
2024-06-04,08:56:00,Jayllihuaya Puno,Avenida La Torre Puno,93,"(-15.8787471, -69.9751057)","(-15.8336052, -70.0276202)",-15.8787471,-69.9751057,-15.8336052,-70.0276202
2024-06-04,09:02:00,Jr. Lima Puno,Instituto de Educación Superior Tecnológico Público Puno,94,"(-15.838756, -70.02816)","(-15.882774, -69.999663)",-15.838756,-70.02816,-15.882774,-69.999663
2024-06-04,09:11:00,Mercado Unión y Dignidad Puno,Urbanización Alto Puno,95,"(-15.840089, -70.0193667)","(-15.814292, -70.031918)",-15.840089,-70.0193667,-15.814292,-70.031918
2024-06-04,09:17:00,Cementerio Laykakota Puno,Parque San Román Puno,96,"(-15.8492522, -70.0210575)","(-15.841093, -70.029431)",-15.8492522,-70.0210575,-15.841093,-70.029431
2024-06-04,09:47:00,Cementerio Yanamayo Puno,Universidad Andina Néstor Cáceres Velásquez Puno,97,"(-15.8096272, -70.0300562)","(-15.8421779, -70.0236583)",-15.8096272,-70.0300562,-15.8421779,-70.0236583
2024-06-04,09:54:00,Terminal Zonal Sur Puno,Parque San Román Puno,98,"(-15.8477879, -70.0149008)","(-15.841093, -70.029431)",-15.8477879,-70.0149008,-15.841093,-70.029431
2024-06-04,10:34:00,Urbanización Huajsapata Puno,Jayllihuaya Puno,99,"(-15.842445, -70.032551)","(-15.8787471, -69.9751057)",-15.842445,-70.032551,-15.8787471,-69.9751057
2024-06-04,13:22:00,Parque del Niño Puno,Instituto Americano de Arte Puno,100,"(-15.858797, -70.012071)","(-15.836384, -70.027622)",-15.858797,-70.012071,-15.836384,-70.027622
2024-06-04,14:22:00,Puerto Lacustre Puno,Puerto Lacustre Puno,101,"(-15.835401, -70.014945)","(-15.835401, -70.014945)",-15.835401,-70.014945,-15.835401,-70.014945
2024-06-04,15:22:00,Jr. Lima Puno,Puerto Lacustre Puno,102,"(-15.838756, -70.02816)","(-15.835401, -70.014945)",-15.838756,-70.02816,-15.835401,-70.014945
2024-06-04,16:18:00,Plaza Vea Puno,Mirador Kuntur Wasi Puno,103,"(-15.83636, -70.025604)","(-15.8471356, -70.0299513)",-15.83636,-70.025604,-15.8471356,-70.0299513
2024-06-04,16:27:00,Terminal Terrestre Puno,Avenida El Sol Puno,104,"(-15.843678, -70.017225)","(-15.8458219, -70.0202123)",-15.843678,-70.017225,-15.8458219,-70.0202123
2024-06-04,16:37:00,Polideportivo Chanu Chanu Puno,Jayllihuaya Puno,105,"(-15.856024, -70.011223)","(-15.8787471, -69.9751057)",-15.856024,-70.011223,-15.8787471,-69.9751057
2024-06-04,16:37:00,Terminal Zonal Sur Puno,Avenida El Sol Puno,106,"(-15.8477879, -70.0149008)","(-15.8458219, -70.0202123)",-15.8477879,-70.0149008,-15.8458219,-70.0202123
2024-06-04,18:08:00,Puerto Lacustre Puno,Parque del Periodista Puno,107,"(-15.835401, -70.014945)","(-15.839012, -70.023311)",-15.835401,-70.014945,-15.839012,-70.023311
2024-06-04,18:18:00,Terminal Zonal Sur Puno,Urbanización Huajsapata Puno,108,"(-15.8477879, -70.0149008)","(-15.842445, -70.032551)",-15.8477879,-70.0149008,-15.842445,-70.032551
2024-06-04,18:28:00,Gran Unidad Escolar San Carlos Puno,Puerto Lacustre Puno,109,"(-15.840115, -70.025425)","(-15.835401, -70.014945)",-15.840115,-70.025425,-15.835401,-70.014945
2024-06-04,19:04:00,Plaza Vea Puno,Senati Puno,110,"(-15.83636, -70.025604)","(-15.8699536, -69.9988485)",-15.83636,-70.025604,-15.8699536,-69.9988485
2024-06-04,20:48:00,Urbanización Bellavista Puno,Hotel Sonesta Posadas del Inca Puno,111,"(-15.832755, -70.022242)","(-15.8241171, -70.0050901)",-15.832755,-70.022242,-15.8241171,-70.0050901
2024-06-04,22:34:00,Hotel Libertador Lago Titicaca Puno,Parque Pino Puno,112,"(-15.827961, -69.993105)","(-15.8378073, -70.0280672)",-15.827961,-69.993105,-15.8378073,-70.0280672
2024-06-05,05:36:00,Avenida El Sol Puno,Complejo Deportivo Alto Llavini Puno,113,"(-15.8458219, -70.0202123)","(-15.81855, -70.025004)",-15.8458219,-70.0202123,-15.81855,-70.025004
2024-06-05,06:06:00,Universidad Nacional del Altiplano,Avenida El Sol Puno,114,"(-15.8242768, -70.0161264)","(-15.8458219, -70.0202123)",-15.8242768,-70.0161264,-15.8458219,-70.0202123
2024-06-05,06:30:00,Puerto Lacustre Puno,Gobierno Regional de Puno,115,"(-15.835401, -70.014945)","(-15.8400211, -70.0276698)",-15.835401,-70.014945,-15.8400211,-70.0276698
2024-06-05,07:02:00,Cementerio Yanamayo Puno,Universidad Andina Néstor Cáceres Velásquez Puno,116,"(-15.8096272, -70.0300562)","(-15.8421779, -70.0236583)",-15.8096272,-70.0300562,-15.8421779,-70.0236583
2024-06-05,07:12:00,Hospital III EsSalud Puno,Puerto Lacustre Puno,117,"(-15.8734615, -70.0004113)","(-15.835401, -70.014945)",-15.8734615,-70.0004113,-15.835401,-70.014945
2024-06-05,07:20:00,Jr. Lima Puno,Terminal Terrestre Puno,118,"(-15.838756, -70.02816)","(-15.843678, -70.017225)",-15.838756,-70.02816,-15.843678,-70.017225
2024-06-05,08:00:00,Parque Pino Puno,Gran Unidad Escolar San Carlos Puno,119,"(-15.8378073, -70.0280672)","(-15.840115, -70.025425)",-15.8378073,-70.0280672,-15.840115,-70.025425
2024-06-05,08:18:00,Puerto Lacustre Puno,Hostal Mirador Korichasca Puno,120,"(-15.835401, -70.014945)","(-15.8524836, -70.0261856)",-15.835401,-70.014945,-15.8524836,-70.0261856
2024-06-05,08:32:00,Mirador Kuntur Wasi Puno,Urbanización Chanu Chanu Puno,121,"(-15.8471356, -70.0299513)","(-15.8603257, -70.013686)",-15.8471356,-70.0299513,-15.8603257,-70.013686
2024-06-05,09:11:00,Instituto Americano de Arte Puno,Avenida La Torre Puno,122,"(-15.836384, -70.027622)","(-15.8336052, -70.0276202)",-15.836384,-70.027622,-15.8336052,-70.0276202
2024-06-05,09:51:00,Urbanización Bellavista Puno,Senati Puno,123,"(-15.832755, -70.022242)","(-15.8699536, -69.9988485)",-15.832755,-70.022242,-15.8699536,-69.9988485
2024-06-05,11:26:00,Plaza Vea Puno,Polideportivo Chanu Chanu Puno,124,"(-15.83636, -70.025604)","(-15.856024, -70.011223)",-15.83636,-70.025604,-15.856024,-70.011223
2024-06-05,11:47:00,Jr. Lima Puno,Plaza Vea Puno,125,"(-15.838756, -70.02816)","(-15.83636, -70.025604)",-15.838756,-70.02816,-15.83636,-70.025604
2024-06-05,13:22:00,Senati Puno,Parque del Niño Puno,126,"(-15.8699536, -69.9988485)","(-15.858797, -70.012071)",-15.8699536,-69.9988485,-15.858797,-70.012071
2024-06-05,14:01:00,Jr. Lima Puno,Avenida Floral Puno,127,"(-15.838756, -70.02816)","(-15.8268687, -70.0141471)",-15.838756,-70.02816,-15.8268687,-70.0141471
2024-06-05,14:39:00,Plaza Vea Puno,Colegio Don Bosco Puno,128,"(-15.83636, -70.025604)","(-15.883085, -70.001176)",-15.83636,-70.025604,-15.883085,-70.001176
2024-06-05,15:46:00,Jr. Tarapacá Puno,Complejo Deportivo Alto Llavini Puno,129,"(-15.83755, -70.029158)","(-15.81855, -70.025004)",-15.83755,-70.029158,-15.81855,-70.025004
2024-06-05,17:02:00,Universidad Andina Néstor Cáceres Velásquez Puno,Terminal Zonal Sur Puno,130,"(-15.8421779, -70.0236583)","(-15.8477879, -70.0149008)",-15.8421779,-70.0236583,-15.8477879,-70.0149008
2024-06-05,17:13:00,Puerto Lacustre Puno,Avenida Floral Puno,131,"(-15.835401, -70.014945)","(-15.8268687, -70.0141471)",-15.835401,-70.014945,-15.8268687,-70.0141471
2024-06-05,18:03:00,Universidad Andina Néstor Cáceres Velásquez Puno,Avenida Floral Puno,132,"(-15.8421779, -70.0236583)","(-15.8268687, -70.0141471)",-15.8421779,-70.0236583,-15.8268687,-70.0141471
2024-06-05,18:24:00,Institución Educativa San Juan Bautista Puno,Terminal Zonal Sur Puno,133,"(-15.840051, -70.0298054)","(-15.8477879, -70.0149008)",-15.840051,-70.0298054,-15.8477879,-70.0149008
2024-06-05,19:28:00,Plaza Mayor de Puno,Municipalidad Provincial de Puno,134,"(-15.8405942, -70.0279834)","(-15.840283, -70.028314)",-15.8405942,-70.0279834,-15.840283,-70.028314
2024-06-05,19:32:00,Urbanización Bellavista Puno,Senati Puno,135,"(-15.832755, -70.022242)","(-15.8699536, -69.9988485)",-15.832755,-70.022242,-15.8699536,-69.9988485
2024-06-05,20:04:00,Urbanización Salcedo Puno,Municipalidad Provincial de Puno,136,"(-15.8724851, -69.9928585)","(-15.840283, -70.028314)",-15.8724851,-69.9928585,-15.840283,-70.028314
2024-06-05,21:38:00,Cementerio Laykakota Puno,Plaza Vea Puno,137,"(-15.8492522, -70.0210575)","(-15.83636, -70.025604)",-15.8492522,-70.0210575,-15.83636,-70.025604
