ID,Lugar de Origen,Coordenadas Origen,Lugar de Destino,Coordenadas Destino,Fecha,Hora de Salida,Distancia (km),Tiempo de Viaje (min),velocidad (kmh)
20,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-10-20,20:05:00,2.5,6.86,21.83
21,Mercado Laykakota Puno,"-15.8465279,-70.0207765",Ministerio de Cultura Puno,"-15.842631,-70.028915",2024-07-07,16:55:00,1.33,6.0,13.26
22,Colegio Don Bosco Puno,"-15.883085,-70.001176",Parque del Periodista Puno,"-15.839012,-70.023311",2024-10-07,16:37:00,7.59,16.22,28.08
23,Colegio Adventista Puno,"-15.8366071,-70.0291852",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-09-19,17:47:00,1.25,6.0,12.51
24,Parque del Periodista Puno,"-15.839012,-70.023311",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-09-09,10:14:00,3.53,10.0,21.16
25,Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",Jr. Los Incas Puno,"-15.836837,-70.024882",2024-10-18,21:15:00,1.76,6.0,17.57
26,Parque San Román Puno,"-15.841093,-70.029431",Urbanización Bellavista Puno,"-15.832755,-70.022242",2024-11-12,19:46:00,1.87,6.0,18.66
27,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-10-31,06:14:00,0.85,3.0,17.08
28,Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",Parque del Niño Puno,"-15.858797,-70.012071",2024-08-31,19:31:00,4.47,10.06,26.67
29,Avenida Floral Puno,"-15.8268687,-70.0141471",Parque Pino Puno,"-15.8378073,-70.0280672",2024-08-26,12:07:00,2.81,6.67,25.31
30,Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",Urbanización Huajsapata Puno,"-15.842445,-70.032551",2024-09-13,02:37:00,1.88,6.0,18.78
31,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Urbanización Bellavista Puno,"-15.832755,-70.022242",2024-09-16,13:04:00,2.73,6.0,27.34
32,Urbanización Bellavista Puno,"-15.832755,-70.022242",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-09-07,09:32:00,1.18,6.0,11.8
33,Urbanización Alto Puno,"-15.814292,-70.031918",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-11-23,00:46:00,4.8,10.0,28.83
34,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-06-13,05:02:00,1.65,6.0,16.48
35,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-11-26,05:33:00,2.85,7.57,22.57
36,Plaza Vea Puno,"-15.83636,-70.025604",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-06-30,20:44:00,1.44,6.0,14.35
37,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Parque del Niño Puno,"-15.858797,-70.012071",2024-06-16,22:32:00,6.51,12.58,31.03
38,Hospital III EsSalud Puno,"-15.8734615,-70.0004113",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-09-21,07:38:00,8.43,16.0,31.61
39,Av. Costanera Puno,"-15.8399095,-70.0176539",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-06-11,17:28:00,2.05,6.0,20.54
40,Ministerio de Cultura Puno,"-15.842631,-70.028915",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-08-15,18:53:00,1.6,6.0,16.02
41,Puerto Lacustre Puno,"-15.835401,-70.014945",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-09-18,23:04:00,1.96,6.0,19.58
42,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-11-21,14:06:00,2.68,6.26,25.7
43,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-08-05,10:33:00,7.4,13.09,33.9
44,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-08-23,23:11:00,11.02,18.96,34.88
45,Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-06-13,12:47:00,4.76,11.31,25.25
46,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Urbanización Alto Puno,"-15.814292,-70.031918",2024-08-24,00:27:00,3.44,10.0,20.66
47,Jayllihuaya Puno,"-15.8787471,-69.9751057",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-07-02,01:49:00,8.29,16.0,31.1
48,Terminal Terrestre Puno,"-15.843678,-70.017225",Parque del Periodista Puno,"-15.839012,-70.023311",2024-06-28,02:37:00,1.24,6.0,12.35
49,Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-10-04,16:58:00,1.6,6.0,16.05
50,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Terminal Terrestre Puno,"-15.843678,-70.017225",2024-06-28,02:46:00,2.94,7.69,22.93
51,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",2024-09-23,10:37:00,1.12,6.0,11.24
52,Mercado Bellavista Puno,"-15.8335335,-70.0233376",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-06-13,01:44:00,0.68,3.0,13.54
53,Avenida La Torre Puno,"-15.8336052,-70.0276202",Plaza Vea Puno,"-15.83636,-70.025604",2024-07-25,21:24:00,0.52,3.0,10.46
54,Jr. Tarapacá Puno,"-15.83755,-70.029158",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-10-29,09:07:00,4.52,10.0,27.14
55,Jayllihuaya Puno,"-15.8787471,-69.9751057",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-08-29,11:39:00,10.62,19.6,32.53
56,Jr. Lima Puno,"-15.838756,-70.02816",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-06-22,01:33:00,2.92,7.49,23.38
57,Jr. Lima Puno,"-15.838756,-70.02816",Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",2024-06-18,07:05:00,4.81,11.03,26.17
58,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",2024-09-27,08:37:00,1.26,6.0,12.61
59,Parque del Periodista Puno,"-15.839012,-70.023311",Parque Pino Puno,"-15.8378073,-70.0280672",2024-09-18,10:59:00,0.73,3.0,14.6
60,Avenida Floral Puno,"-15.8268687,-70.0141471",Senati Puno,"-15.8699536,-69.9988485",2024-06-26,23:45:00,6.89,12.42,33.29
61,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",2024-07-05,06:41:00,8.53,16.0,31.97
62,Parque San Román Puno,"-15.841093,-70.029431",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-08-06,06:23:00,2.33,6.0,23.28
63,Mercado Bellavista Puno,"-15.8335335,-70.0233376",Senati Puno,"-15.8699536,-69.9988485",2024-09-23,08:09:00,6.7,13.98,28.76
64,Parque del Periodista Puno,"-15.839012,-70.023311",Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",2024-06-21,16:00:00,3.66,10.0,21.98
65,Puerto Lacustre Puno,"-15.835401,-70.014945",Jr. Tarapacá Puno,"-15.83755,-70.029158",2024-10-25,11:25:00,2.27,6.0,22.66
66,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-06-29,06:18:00,1.73,6.0,17.27
67,Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",Ministerio de Cultura Puno,"-15.842631,-70.028915",2024-07-02,18:21:00,0.71,3.0,14.16
68,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Ministerio de Cultura Puno,"-15.842631,-70.028915",2024-11-29,01:59:00,1.68,6.0,16.84
69,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-07-03,04:01:00,8.33,17.05,29.3
70,Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-07-31,05:55:00,3.99,10.0,23.94
71,Senati Puno,"-15.8699536,-69.9988485",Urbanización Huajsapata Puno,"-15.842445,-70.032551",2024-08-19,11:08:00,6.57,13.59,29.02
72,Avenida El Sol Puno,"-15.8458219,-70.0202123",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-08-12,03:57:00,0.46,3.0,9.1
73,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-10-30,19:58:00,3.62,10.0,21.7
74,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-06-29,11:20:00,0.74,3.0,14.86
75,Avenida La Torre Puno,"-15.8336052,-70.0276202",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-10-20,10:14:00,2.93,6.12,28.74
76,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-06-08,03:21:00,0.81,3.0,16.2
77,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-07-01,20:00:00,7.59,16.04,28.41
78,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-08-18,18:57:00,1.09,6.0,10.93
79,Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",2024-08-15,15:12:00,2.22,6.0,22.16
80,Salcedo Puno,"-15.8687992,-69.9986595",Jr. Lima Puno,"-15.838756,-70.02816",2024-08-29,00:01:00,6.41,12.63,30.43
81,Avenida El Sol Puno,"-15.8458219,-70.0202123",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-09-19,18:45:00,1.48,6.0,14.84
82,Parque del Periodista Puno,"-15.839012,-70.023311",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-11-17,20:17:00,0.85,3.0,16.96
83,Parque del Niño Puno,"-15.858797,-70.012071",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-07-02,03:39:00,4.26,10.0,25.56
84,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Parque San Román Puno,"-15.841093,-70.029431",2024-11-28,03:00:00,3.41,10.0,20.45
85,Plaza Vea Puno,"-15.83636,-70.025604",Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",2024-08-21,11:02:00,2.76,6.0,27.56
86,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Municipalidad Provincial de Puno,"-15.840283,-70.028314",2024-09-21,14:32:00,2.41,6.0,24.11
87,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Jr. Tarapacá Puno,"-15.83755,-70.029158",2024-11-29,09:57:00,4.11,10.0,24.63
88,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-08-12,13:43:00,1.24,6.0,12.36
89,Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",Senati Puno,"-15.8699536,-69.9988485",2024-10-25,06:02:00,5.05,12.0,25.26
90,Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",Plaza Vea Puno,"-15.83636,-70.025604",2024-07-21,19:09:00,0.93,3.0,18.52
91,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-08-27,10:27:00,4.16,10.0,24.98
92,Colegio Don Bosco Puno,"-15.883085,-70.001176",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-09-29,14:14:00,9.77,17.88,32.78
93,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-08-30,18:09:00,0.52,3.0,10.46
94,Jr. Tarapacá Puno,"-15.83755,-70.029158",Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",2024-10-31,12:31:00,2.75,7.35,22.46
95,Puerto Lacustre Puno,"-15.835401,-70.014945",Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",2024-07-08,13:12:00,3.16,10.0,18.95
96,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",2024-07-30,07:58:00,5.46,12.0,27.32
97,Urbanización Huajsapata Puno,"-15.842445,-70.032551",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-07-13,09:30:00,1.46,6.0,14.61
98,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-11-07,16:38:00,4.88,11.48,25.52
99,Colegio Don Bosco Puno,"-15.883085,-70.001176",Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",2024-06-24,01:39:00,8.84,16.0,33.16
100,Avenida La Torre Puno,"-15.8336052,-70.0276202",Urbanización Alto Puno,"-15.814292,-70.031918",2024-08-30,06:20:00,3.5,10.0,21.03
101,Urbanización Alto Puno,"-15.814292,-70.031918",Jr. Tarapacá Puno,"-15.83755,-70.029158",2024-07-04,09:22:00,3.88,10.0,23.27
102,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Terminal Terrestre Puno,"-15.843678,-70.017225",2024-07-22,11:47:00,1.03,6.0,10.33
103,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-10-03,23:59:00,1.13,6.0,11.28
104,Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",Jr. Lima Puno,"-15.838756,-70.02816",2024-09-17,11:00:00,4.12,10.0,24.69
105,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-10-12,22:58:00,5.47,12.0,27.33
106,Urbanización Huajsapata Puno,"-15.842445,-70.032551",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-09-26,13:35:00,4.05,10.0,24.28
107,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-10-22,13:22:00,1.32,6.0,13.21
108,Parque Pino Puno,"-15.8378073,-70.0280672",Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",2024-06-27,11:19:00,3.75,10.0,22.52
109,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Jr. Lima Puno,"-15.838756,-70.02816",2024-07-01,23:51:00,2.52,6.0,25.19
110,Parque San Román Puno,"-15.841093,-70.029431",Jr. Lima Puno,"-15.838756,-70.02816",2024-11-06,20:41:00,0.4,3.0,8.1
111,Senati Puno,"-15.8699536,-69.9988485",Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",2024-07-26,17:31:00,3.08,10.0,18.47
112,Parque del Niño Puno,"-15.858797,-70.012071",Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",2024-06-14,09:49:00,0.47,3.0,9.4
113,Puerto Lacustre Puno,"-15.835401,-70.014945",Salcedo Puno,"-15.8687992,-69.9986595",2024-10-16,07:47:00,6.37,12.05,31.73
114,Avenida Floral Puno,"-15.8268687,-70.0141471",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-07-03,10:33:00,3.4,10.0,20.37
115,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-10-11,08:15:00,7.48,13.52,33.2
116,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",2024-07-19,07:05:00,5.76,12.0,28.79
117,Urbanización Alto Puno,"-15.814292,-70.031918",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-09-26,21:35:00,4.38,10.0,26.27
118,Plaza Vea Puno,"-15.83636,-70.025604",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-06-02,16:54:00,0.29,3.0,5.78
119,Parque Pino Puno,"-15.8378073,-70.0280672",Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",2024-10-04,08:47:00,9.25,16.69,33.25
120,Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-07-28,14:32:00,5.09,12.0,25.45
121,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",2024-10-20,19:10:00,1.97,6.0,19.66
122,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",2024-10-05,03:17:00,3.14,10.0,18.86
123,Puerto Lacustre Puno,"-15.835401,-70.014945",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-09-11,04:09:00,9.0,16.58,32.58
124,Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-10-15,20:08:00,2.02,6.0,20.25
125,Plaza Vea Puno,"-15.83636,-70.025604",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-08-15,03:03:00,1.06,6.0,10.63
126,Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",Parque Pino Puno,"-15.8378073,-70.0280672",2024-08-04,03:43:00,1.56,6.0,15.56
128,Mercado Bellavista Puno,"-15.8335335,-70.0233376",Plaza Vea Puno,"-15.83636,-70.025604",2024-09-14,20:31:00,0.57,3.0,11.4
129,Jr. Lima Puno,"-15.838756,-70.02816",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-11-12,12:47:00,0.55,3.0,10.9
130,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",2024-06-16,18:08:00,7.97,13.99,34.19
131,Parque San Román Puno,"-15.841093,-70.029431",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-10-07,14:29:00,1.37,6.0,13.7
132,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-08-29,04:40:00,6.23,12.27,30.46
133,Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",Senati Puno,"-15.8699536,-69.9988485",2024-07-09,12:35:00,9.09,17.72,30.78
134,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-06-30,02:54:00,7.1,13.75,30.97
135,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",2024-08-13,19:42:00,4.06,10.0,24.37
136,Parque San Román Puno,"-15.841093,-70.029431",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-08-27,03:27:00,0.32,3.0,6.46
137,Salcedo Puno,"-15.8687992,-69.9986595",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-08-26,09:01:00,2.52,6.0,25.25
138,Jr. Tarapacá Puno,"-15.83755,-70.029158",Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",2024-11-10,12:16:00,0.74,3.0,14.7
139,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",2024-10-03,11:01:00,4.92,11.59,25.47
140,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-07-10,05:53:00,3.62,10.0,21.74
141,Parque San Román Puno,"-15.841093,-70.029431",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-06-15,20:47:00,0.76,3.0,15.28
142,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Senati Puno,"-15.8699536,-69.9988485",2024-09-02,13:37:00,7.62,14.2,32.22
143,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",2024-08-11,05:24:00,1.98,6.0,19.79
144,Terminal Terrestre Puno,"-15.843678,-70.017225",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-06-26,03:00:00,1.24,6.0,12.44
145,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-08-11,23:17:00,5.79,12.0,28.96
146,Plaza Vea Puno,"-15.83636,-70.025604",Terminal Terrestre Puno,"-15.843678,-70.017225",2024-07-16,17:41:00,1.91,6.0,19.1
147,Puerto Lacustre Puno,"-15.835401,-70.014945",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-08-27,01:20:00,1.61,6.0,16.14
148,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",2024-11-23,19:20:00,5.22,12.0,26.1
149,Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",2024-09-10,16:02:00,0.57,3.0,11.32
150,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Jr. Tarapacá Puno,"-15.83755,-70.029158",2024-06-04,08:53:00,3.12,10.0,18.72
151,Plaza Vea Puno,"-15.83636,-70.025604",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-10-16,11:13:00,0.55,3.0,11.06
152,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-07-04,23:37:00,2.42,6.68,21.73
153,Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",Parque del Periodista Puno,"-15.839012,-70.023311",2024-07-10,03:00:00,7.51,15.44,29.18
154,Urbanización Huajsapata Puno,"-15.842445,-70.032551",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-10-13,02:35:00,4.19,10.0,25.12
156,Puerto Lacustre Puno,"-15.835401,-70.014945",Hospital III EsSalud Puno,"-15.8734615,-70.0004113",2024-10-06,04:34:00,6.15,12.0,30.76
157,Jr. Lima Puno,"-15.838756,-70.02816",Av. Costanera Puno,"-15.8399095,-70.0176539",2024-10-05,18:54:00,1.76,6.0,17.57
158,Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-09-16,04:23:00,1.68,6.0,16.84
159,Avenida Floral Puno,"-15.8268687,-70.0141471",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-10-03,02:18:00,1.97,6.0,19.66
160,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-06-02,14:16:00,1.85,6.0,18.51
161,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-10-22,07:05:00,2.56,6.0,25.65
162,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-08-16,11:48:00,2.4,6.0,23.97
163,Av. Costanera Puno,"-15.8399095,-70.0176539",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-06-26,06:44:00,2.54,6.0,25.38
164,Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-10-12,03:39:00,3.38,10.0,20.27
165,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Plaza Vea Puno,"-15.83636,-70.025604",2024-07-13,05:46:00,1.26,6.0,12.6
