Fecha,Hora de salida,Lugar de Origen,Lugar de Destino
2024-06-03,13:44:00,Avenida La Torre Puno,Mirador Puma Uta Puno
2024-06-03,14:09:00,Colegio Glorioso San Carlos Puno,Parque Pino Puno
2024-06-03,16:37:00,Jayllihuaya Puno,Municipalidad Provincial de Puno
2024-06-03,17:37:00,Colegio Adventista Puno,Urbanización Huajsapata Puno
2024-06-03,18:19:00,Polideportivo Chanu Chanu Puno,Terminal Zonal Sur Puno
2024-06-03,18:20:00,Urbanización Chanu Chanu Puno,Senati Puno
2024-06-03,18:36:00,Plaza Mayor de Puno Puno,Plazuela 15 de Agosto Puno
2024-06-03,18:54:00,Mercado Unión y Dignidad Puno,Terminal Terrestre Puno
2024-06-03,19:00:00,Hotel Sonesta Posadas del Inca Puno,Municipalidad Provincial de Puno
2024-06-03,19:30:00,Urbanización Bellavista Puno,Universidad Nacional del Altiplano
2024-06-03,19:50:00,Centro de Salud Metropolitano Puno,Puerto Lacustre Puno
2024-06-03,20:19:00,Plaza Mayor de Puno Puno,Senati Puno
2024-06-03,22:06:00,Av. Costanera Puno,Avenida Floral Puno
2024-06-04,05:22:00,Polideportivo Chanu Chanu Puno,Senati Puno
2024-06-04,06:13:00,Urbanización Huajsapata Puno,Parque del Niño Puno
2024-06-04,06:42:00,Cementerio Laykakota Puno,Iglesia San Juan Bautista Puno
2024-06-04,07:25:00,Mercado Unión y Dignidad Puno,Instituto Americano Los Andes Puno
2024-06-04,07:36:00,Gobierno Regional de Puno,Puerto Lacustre Puno
2024-06-04,07:48:00,Mercado Central Bellavista Puno,Avenida El Sol Puno
2024-06-04,07:52:00,Municipalidad Provincial de Puno,Mirador Kuntur Wasi Puno
2024-06-04,08:56:00,Jayllihuaya Puno,Avenida La Torre Puno
2024-06-04,09:02:00,Jirón Lima Puno,Instituto de Educación Superior Tecnológico Público Puno
2024-06-04,09:11:00,Mercado Unión y Dignidad Puno,Urbanización Alto Puno
2024-06-04,09:17:00,Cementerio Laykakota Puno,Plazuela Santa Rosa Puno
2024-06-04,09:47:00,Cementerio Yanamayo Puno,Universidad Andina Néstor Cáceres Velásquez Puno
2024-06-04,09:54:00,Terminal Zonal Sur Puno,Plazuela Santa Rosa Puno
2024-06-04,10:34:00,Urbanización Huajsapata Puno,Jayllihuaya Puno
2024-06-04,13:22:00,Parque del Niño Puno,Instituto Americano Los Andes Puno
2024-06-04,14:22:00,Puerto Lacustre Puno,Puerto Muñoz Díaz Puno
2024-06-04,15:22:00,Jirón Lima Puno,Puerto Lacustre Puno
2024-06-04,16:18:00,Real Plaza Puno,Mirador Kuntur Wasi Puno
2024-06-04,16:27:00,Terminal Terrestre Puno,Avenida El Sol Puno
2024-06-04,16:37:00,Polideportivo Chanu Chanu Puno,Jayllihuaya Puno
2024-06-04,16:37:00,Terminal Zonal Sur Puno,Avenida El Sol Puno
2024-06-04,18:08:00,Puerto Muñoz Díaz Puno,Plazuela 15 de Agosto Puno
2024-06-04,18:18:00,Terminal Zonal Sur Puno,Urbanización Huajsapata Puno
2024-06-04,18:28:00,Gran Unidad Escolar San Carlos Puno,Puerto Lacustre Puno
2024-06-04,19:04:00,Real Plaza Puno,Senati Puno
2024-06-04,20:48:00,Urbanización Bellavista Puno,Hotel Sonesta Posadas del Inca Puno
2024-06-04,22:34:00,Isla Esteves Puno,Parque Pino Puno
2024-06-05,05:36:00,Avenida El Sol Puno,Complejo Deportivo Alto Llavini Puno
2024-06-05,06:06:00,Universidad Nacional del Altiplano,Avenida El Sol Puno
2024-06-05,06:30:00,Puerto Muñoz Díaz Puno,Gobierno Regional de Puno
2024-06-05,07:02:00,Cementerio Yanamayo Puno,Universidad Andina Néstor Cáceres Velásquez Puno
2024-06-05,07:12:00,Hospital ESSALUD Puno,Puerto Muñoz Díaz Puno
2024-06-05,07:20:00,Jirón Lima Puno,Terminal Terrestre Puno
2024-06-05,08:00:00,Parque Pino Puno,Gran Unidad Escolar San Carlos Puno
2024-06-05,08:18:00,Puerto Muñoz Díaz Puno,Hostal Mirador Korichasca Puno
2024-06-05,08:32:00,Mirador Kuntur Wasi Puno,Urbanización Chanu Chanu Puno
2024-06-05,09:11:00,Instituto Americano Los Andes Puno,Avenida La Torre Puno
2024-06-05,09:51:00,Urbanización Bellavista Puno,Senati Puno
2024-06-05,11:26:00,Real Plaza Puno,Polideportivo Chanu Chanu Puno
2024-06-05,11:47:00,Jirón Lima Puno,Real Plaza Puno
2024-06-05,13:22:00,Senati Puno,Parque del Niño Puno
2024-06-05,14:01:00,Jirón Lima Puno,Avenida Floral Puno
2024-06-05,14:39:00,Real Plaza Puno,Colegio Don Bosco Puno
2024-06-05,15:46:00,Catedral Basílica de Puno,Complejo Deportivo Alto Llavini Puno
2024-06-05,17:02:00,Universidad Andina Néstor Cáceres Velásquez Puno,Terminal Zonal Sur Puno
2024-06-05,17:13:00,Puerto Lacustre Puno,Avenida Floral Puno
2024-06-05,18:03:00,Universidad Andina Néstor Cáceres Velásquez Puno,Avenida Floral Puno
2024-06-05,18:24:00,Iglesia San Juan Bautista Puno,Terminal Zonal Sur Puno
2024-06-05,19:28:00,Plaza Mayor de Puno Puno,Municipalidad Provincial de Puno
2024-06-05,19:32:00,Urbanización Bellavista Puno,Senati Puno
2024-06-05,20:04:00,Urbanización Salcedo Puno,Municipalidad Provincial de Puno
2024-06-05,21:38:00,Cementerio Laykakota Puno,Real Plaza Puno
2024-06-05,22:31:00,Hostal Mirador Korichasca Puno,Hospital Regional Manuel Núñez Butrón
2024-06-06,05:46:00,Parque Pino Puno,Mirador Kuntur Wasi Puno
2024-06-06,06:12:00,Jayllihuaya Puno,Urbanización Alto Puno
2024-06-06,06:25:00,Jirón Lima Puno,Mercado Laykakota Puno
2024-06-06,07:23:00,Plazuela 15 de Agosto Puno,Hostal Mirador Korichasca Puno
2024-06-06,08:21:00,Puerto Muñoz Díaz Puno,Parque Pino Puno
2024-06-06,09:27:00,Mercado Laykakota Puno,Hospital Regional Manuel Núñez Butrón
2024-06-06,09:31:00,Hospital Regional Manuel Núñez Butrón,Universidad Nacional del Altiplano
2024-06-06,09:57:00,Puerto Muñoz Díaz Puno,Cementerio Laykakota Puno
2024-06-06,10:28:00,Puerto Lacustre Puno,Terminal Terrestre Puno
2024-06-06,10:42:00,Urbanización Chanu Chanu Puno,Gobierno Regional de Puno
2024-06-06,11:45:00,Jayllihuaya Puno,Parque Pino Puno
2024-06-06,12:37:00,Colegio Adventista Puno,Terminal Zonal Sur Puno
2024-06-06,13:31:00,Real Plaza Puno,Hospital Regional Manuel Núñez Butrón
2024-06-06,14:33:00,Hostal Mirador Korichasca Puno,Urbanización Chanu Chanu Puno
2024-06-06,14:41:00,Av. Costanera Puno,Parque Mariátegui Puno
2024-06-06,15:20:00,Instituto de Cultura y Turismo de Puno,Estadio Enrique Torres Belón
2024-06-06,17:10:00,Jirón Lima Puno,Urbanización Chanu Chanu Puno
2024-06-06,17:21:00,Jirón Lima Puno,Urbanización Bellavista Puno
2024-06-06,17:27:00,Mercado Central Bellavista Puno,Avenida La Torre Puno
2024-06-06,17:41:00,Hospital Regional Manuel Núñez Butrón,Plaza Mayor de Puno Puno
2024-06-06,18:19:00,Terminal Zonal Sur Puno,Municipalidad Provincial de Puno
2024-06-06,18:24:00,Puerto Lacustre Puno,Hotel Sonesta Posadas del Inca Puno
2024-06-06,19:02:00,Isla Esteves Puno,Instituto de Cultura y Turismo de Puno
2024-06-06,19:10:00,Universidad Nacional del Altiplano,Colegio Don Bosco Puno
2024-06-06,19:26:00,Parque Mariátegui Puno,Terminal Terrestre Puno
2024-06-06,19:56:00,Plazuela 15 de Agosto Puno,Plaza Mayor de Puno Puno
2024-06-06,20:06:00,Mercado Central Bellavista Puno,Avenida El Sol Puno
2024-06-06,20:40:00,Avenida Floral Puno,Avenida Floral Puno
2024-06-06,21:15:00,Hotel Sonesta Posadas del Inca Puno,Cementerio Laykakota Puno
2024-06-07,05:26:00,Colegio Glorioso San Carlos Puno,Universidad Nacional del Altiplano
2024-06-07,05:35:00,Cementerio Yanamayo Puno,Parque Mariátegui Puno
2024-06-07,06:17:00,Los Incas Puno,Hotel Libertador Lago Titicaca Puno
2024-06-07,06:17:00,Complejo Deportivo Alto Llavini Puno,Iglesia San Juan Bautista Puno
2024-06-07,07:03:00,Gran Unidad Escolar San Carlos Puno,Puerto Muñoz Díaz Puno
2024-06-07,07:32:00,Iglesia San Juan Bautista Puno,Estadio Enrique Torres Belón
2024-06-07,07:50:00,Instituto de Educación Superior Tecnológico Público Puno,Jirón Lima Puno
2024-06-07,08:51:00,Instituto de Cultura y Turismo de Puno,Terminal Terrestre Puno
2024-06-07,10:15:00,Polideportivo Chanu Chanu Puno,Colegio Don Bosco Puno
2024-06-07,12:13:00,Gran Unidad Escolar San Carlos Puno,Puerto Lacustre Puno
2024-06-07,12:19:00,Municipalidad Provincial de Puno,Estadio Enrique Torres Belón
2024-06-07,12:56:00,Hospital ESSALUD Puno,Urbanización Salcedo Puno
2024-06-07,13:23:00,Mercado Central Bellavista Puno,Terminal Zonal Sur Puno
2024-06-07,15:44:00,Gobierno Regional de Puno,Universidad Nacional del Altiplano
2024-06-07,15:46:00,Colegio Glorioso San Carlos Puno,Estadio Enrique Torres Belón
2024-06-07,15:50:00,Plaza Mayor de Puno Puno,Jayllihuaya Puno
2024-06-07,17:03:00,Real Plaza Puno,Colegio Don Bosco Puno
2024-06-07,17:06:00,Complejo Deportivo Alto Llavini Puno,Plazuela 15 de Agosto Puno
2024-06-07,17:20:00,Urbanización Huajsapata Puno,Urbanización Alto Puno
2024-06-07,17:27:00,Plazuela 15 de Agosto Puno,Universidad Nacional del Altiplano
2024-06-07,17:30:00,Urbanización Salcedo Puno,Jirón Lima Puno
2024-06-07,17:55:00,Parque Mariátegui Puno,Urbanización Huajsapata Puno
2024-06-07,18:15:00,Isla Esteves Puno,Avenida La Torre Puno
2024-06-07,18:17:00,Plazuela Santa Rosa Puno,Puerto Lacustre Puno
2024-06-07,19:32:00,Parque del Niño Puno,Colegio Don Bosco Puno
2024-06-07,19:45:00,Instituto de Educación Superior Tecnológico Público Puno,Colegio Don Bosco Puno
2024-06-07,21:00:00,Parque Pino Puno,Parque del Niño Puno
2024-06-07,21:35:00,Avenida La Torre Puno,Parque Mariátegui Puno
2024-06-08,05:38:00,Hotel Sonesta Posadas del Inca Puno,Puerto Lacustre Puno
2024-06-08,06:04:00,Puerto Lacustre Puno,Hospital ESSALUD Puno
2024-06-08,06:14:00,Cementerio Yanamayo Puno,Isla Esteves Puno
2024-06-08,06:17:00,Parque Pino Puno,Hospital Regional Manuel Núñez Butrón
2024-06-08,06:38:00,Hotel Sonesta Posadas del Inca Puno,Plazuela Santa Rosa Puno
2024-06-08,07:35:00,Hotel Libertador Lago Titicaca Puno,Centro de Salud Metropolitano Puno
2024-06-08,08:39:00,Jayllihuaya Puno,Parque Mariátegui Puno
2024-06-08,08:41:00,Estadio Enrique Torres Belón,Colegio Don Bosco Puno
2024-06-08,08:43:00,Salcedo Puno,Los Incas Puno
2024-06-08,08:43:00,Avenida La Torre Puno,Urbanización Chanu Chanu Puno
2024-06-08,09:22:00,Real Plaza Puno,Estadio Enrique Torres Belón
2024-06-08,09:43:00,Plazuela Santa Rosa Puno,Urbanización Salcedo Puno
2024-06-08,09:45:00,Polideportivo Chanu Chanu Puno,Universidad Nacional del Altiplano
2024-06-08,09:48:00,Colegio Adventista Puno,Salcedo Puno
2024-06-08,09:58:00,Terminal Terrestre Puno,Hotel Libertador Lago Titicaca Puno
2024-06-08,11:15:00,Gobierno Regional de Puno,Hospital Regional Manuel Núñez Butrón
2024-06-08,11:24:00,Salcedo Puno,Jayllihuaya Puno
2024-06-08,11:24:00,Avenida Floral Puno,Parque Mariátegui Puno
2024-06-08,11:58:00,Instituto de Cultura y Turismo de Puno,Colegio María Auxiliadora Puno
2024-06-08,11:59:00,Avenida El Sol Puno,Puerto Lacustre Puno
2024-06-08,12:49:00,Hotel Libertador Lago Titicaca Puno,Universidad Andina Néstor Cáceres Velásquez Puno
2024-06-08,12:54:00,Gran Unidad Escolar San Carlos Puno,Isla Esteves Puno
2024-06-08,16:42:00,Puerto Lacustre Puno,Urbanización Huajsapata Puno
2024-06-08,17:27:00,Colegio Don Bosco Puno,Iglesia San Juan Bautista Puno
2024-06-08,17:29:00,Parque Mariátegui Puno,Colegio Glorioso San Carlos Puno
2024-06-08,17:35:00,Colegio Glorioso San Carlos Puno,Parque Pino Puno
2024-06-08,17:43:00,Instituto de Educación Superior Tecnológico Público Puno,Jirón Lima Puno
2024-06-08,19:05:00,Complejo Deportivo Alto Llavini Puno,Centro de Salud Metropolitano Puno
2024-06-08,19:37:00,Puerto Lacustre Puno,Mirador Kuntur Wasi Puno
2024-06-08,19:55:00,Real Plaza Puno,Cementerio Laykakota Puno
2024-06-08,22:21:00,Cementerio Yanamayo Puno,Universidad Andina Néstor Cáceres Velásquez Puno
2024-06-09,06:18:00,Urbanización Alto Puno,Avenida El Sol Puno
2024-06-09,06:19:00,Parque Pino Puno,Urbanización Huajsapata Puno
2024-06-09,06:23:00,Parque del Niño Puno,Cementerio Laykakota Puno
2024-06-09,06:24:00,Parque Pino Puno,Senati Puno
2024-06-09,07:17:00,Mirador Kuntur Wasi Puno,Urbanización Chanu Chanu Puno
2024-06-09,07:30:00,Urbanización Alto Puno,Terminal Zonal Sur Puno
2024-06-09,08:05:00,Urbanización Chanu Chanu Puno,Instituto Americano Los Andes Puno
2024-06-09,08:27:00,Urbanización Huajsapata Puno,Jayllihuaya Puno
2024-06-09,08:44:00,Colegio Don Bosco Puno,Instituto de Cultura y Turismo de Puno
2024-06-09,09:10:00,Colegio Glorioso San Carlos Puno,Iglesia San Juan Bautista Puno
2024-06-09,11:13:00,Hospital Regional Manuel Núñez Butrón,Complejo Deportivo Alto Llavini Puno
2024-06-09,11:51:00,Urbanización Chanu Chanu Puno,Catedral Basílica de Puno
2024-06-09,11:54:00,Jayllihuaya Puno,Universidad Nacional del Altiplano
2024-06-09,12:07:00,Plazuela Santa Rosa Puno,Puerto Muñoz Díaz Puno
2024-06-09,12:10:00,Parque Pino Puno,Mercado Unión y Dignidad Puno
2024-06-09,15:06:00,Jirón Lima Puno,Mirador Puma Uta Puno
2024-06-09,15:13:00,Mercado Unión y Dignidad Puno,Jirón Lima Puno
2024-06-09,15:13:00,Isla Esteves Puno,Terminal Terrestre Puno
2024-06-09,15:22:00,Colegio Don Bosco Puno,Urbanización Chanu Chanu Puno
2024-06-09,15:30:00,Urbanización Bellavista Puno,Jirón Lima Puno
2024-06-09,16:17:00,Mercado Laykakota Puno,Los Incas Puno
2024-06-09,17:12:00,Puerto Muñoz Díaz Puno,Gran Unidad Escolar San Carlos Puno
2024-06-09,17:28:00,Estadio Enrique Torres Belón,Hospital ESSALUD Puno
2024-06-09,17:53:00,Puerto Lacustre Puno,Plaza Mayor de Puno Puno
2024-06-09,18:16:00,Avenida La Torre Puno,Real Plaza Puno
2024-06-09,19:03:00,Estadio Enrique Torres Belón,Gran Unidad Escolar San Carlos Puno
2024-06-09,19:20:00,Jayllihuaya Puno,Universidad Nacional del Altiplano
2024-06-09,19:59:00,Instituto Americano Los Andes Puno,Hospital Regional Manuel Núñez Butrón
2024-06-09,22:34:00,Plaza Mayor de Puno Puno,Hostal Mirador Korichasca Puno
2024-06-10,05:41:00,Terminal Zonal Sur Puno,Municipalidad Provincial de Puno
2024-06-10,06:18:00,Cementerio Laykakota Puno,Urbanización Salcedo Puno
2024-06-10,06:29:00,Parque Pino Puno,Puerto Lacustre Puno
2024-06-10,07:15:00,Urbanización Chanu Chanu Puno,Urbanización Salcedo Puno
2024-06-10,07:42:00,Municipalidad Provincial de Puno,Gobierno Regional de Puno
2024-06-10,07:49:00,Gobierno Regional de Puno,Colegio Don Bosco Puno
2024-06-10,08:14:00,Isla Esteves Puno,Urbanización Huajsapata Puno
2024-06-10,08:25:00,Instituto Americano Los Andes Puno,Parque Pino Puno
2024-06-10,09:11:00,Urbanización Chanu Chanu Puno,Real Plaza Puno
2024-06-10,11:22:00,Urbanización Salcedo Puno,Instituto de Cultura y Turismo de Puno
2024-06-10,12:33:00,Municipalidad Provincial de Puno,Urbanización Huajsapata Puno
2024-06-10,13:39:00,Isla Esteves Puno,Mirador Puma Uta Puno
2024-06-10,13:46:00,Colegio María Auxiliadora Puno,Instituto de Educación Superior Tecnológico Público Puno
2024-06-10,14:37:00,Mercado Laykakota Puno,Jirón Lima Puno
2024-06-10,16:25:00,Instituto Americano Los Andes Puno,Instituto Americano Los Andes Puno
2024-06-10,16:28:00,Terminal Zonal Sur Puno,Plaza Mayor de Puno Puno
2024-06-10,17:33:00,Polideportivo Chanu Chanu Puno,Colegio Glorioso San Carlos Puno
2024-06-10,17:41:00,Hostal Mirador Korichasca Puno,Colegio María Auxiliadora Puno
2024-06-10,18:50:00,Urbanización Alto Puno,Catedral Basílica de Puno
2024-06-10,19:03:00,Parque Mariátegui Puno,Gobierno Regional de Puno
2024-06-10,19:30:00,Urbanización Huajsapata Puno,Los Incas Puno
2024-06-10,19:57:00,Instituto de Educación Superior Tecnológico Público Puno,Jayllihuaya Puno
2024-06-10,19:59:00,Urbanización Alto Puno,Hotel Sonesta Posadas del Inca Puno
2024-06-10,20:33:00,Cementerio Laykakota Puno,Catedral Basílica de Puno
2024-06-10,21:34:00,Centro de Salud Metropolitano Puno,Universidad Andina Néstor Cáceres Velásquez Puno
2024-06-11,06:44:00,Salcedo Puno,Urbanización Chanu Chanu Puno
2024-06-11,07:34:00,Universidad Nacional del Altiplano,Avenida El Sol Puno
2024-06-11,07:57:00,Plazuela 15 de Agosto Puno,Mirador Kuntur Wasi Puno
2024-06-11,08:00:00,Real Plaza Puno,Polideportivo Chanu Chanu Puno
2024-06-11,08:04:00,Urbanización Alto Puno,Centro de Salud Metropolitano Puno
2024-06-11,08:04:00,Mirador Puma Uta Puno,Centro de Salud Metropolitano Puno
2024-06-11,09:00:00,Instituto de Educación Superior Tecnológico Público Puno,Los Incas Puno
2024-06-11,09:02:00,Plaza Mayor de Puno Puno,Universidad Nacional del Altiplano
2024-06-11,09:10:00,Gobierno Regional de Puno,Hostal Mirador Korichasca Puno
2024-06-11,09:16:00,Plaza Mayor de Puno Puno,Gobierno Regional de Puno
2024-06-11,09:18:00,Hospital ESSALUD Puno,Parque Mariátegui Puno
2024-06-11,09:24:00,Jayllihuaya Puno,Salcedo Puno
2024-06-11,11:10:00,Puerto Lacustre Puno,Urbanización Huajsapata Puno
2024-06-11,11:56:00,Gobierno Regional de Puno,Urbanización Salcedo Puno
2024-06-11,12:15:00,Terminal Zonal Sur Puno,Municipalidad Provincial de Puno
2024-06-11,12:23:00,Jirón Lima Puno,Plazuela Santa Rosa Puno
2024-06-11,12:58:00,Parque Pino Puno,Salcedo Puno
2024-06-11,13:30:00,Real Plaza Puno,Plazuela Santa Rosa Puno
2024-06-11,14:34:00,Plazuela Santa Rosa Puno,Terminal Zonal Sur Puno
2024-06-11,17:26:00,Urbanización Huajsapata Puno,Complejo Deportivo Alto Llavini Puno
2024-06-11,17:48:00,Colegio Don Bosco Puno,Jayllihuaya Puno
2024-06-11,18:16:00,Universidad Nacional del Altiplano,Puerto Lacustre Puno
2024-06-11,18:30:00,Universidad Nacional del Altiplano,Urbanización Salcedo Puno
2024-06-11,19:57:00,Urbanización Chanu Chanu Puno,Colegio Glorioso San Carlos Puno
2024-06-12,05:04:00,Puerto Lacustre Puno,Gobierno Regional de Puno
2024-06-12,06:11:00,Urbanización Salcedo Puno,Gobierno Regional de Puno
2024-06-12,07:05:00,Jayllihuaya Puno,Hostal Mirador Korichasca Puno
2024-06-12,07:13:00,Mercado Unión y Dignidad Puno,Plaza Mayor de Puno Puno
2024-06-12,07:29:00,Terminal Zonal Sur Puno,Jirón Lima Puno
2024-06-12,08:58:00,Jirón Lima Puno,Instituto Americano Los Andes Puno
2024-06-12,09:17:00,Hospital Regional Manuel Núñez Butrón,Parque Pino Puno
2024-06-12,09:39:00,Salcedo Puno,Urbanización Huajsapata Puno
2024-06-12,09:58:00,Estadio Enrique Torres Belón,Jirón Lima Puno
2024-06-12,10:31:00,Urbanización Bellavista Puno,Cementerio Yanamayo Puno
2024-06-12,10:52:00,Mercado Laykakota Puno,Universidad Andina Néstor Cáceres Velásquez Puno
2024-06-12,11:56:00,Plaza Mayor de Puno Puno,Cementerio Laykakota Puno
2024-06-12,12:34:00,Isla Esteves Puno,Hostal Mirador Korichasca Puno
2024-06-12,12:51:00,Cementerio Yanamayo Puno,Instituto de Educación Superior Tecnológico Público Puno
2024-06-12,13:33:00,Senati Puno,Hotel Sonesta Posadas del Inca Puno
2024-06-12,13:48:00,Hotel Libertador Lago Titicaca Puno,Avenida El Sol Puno
2024-06-12,14:22:00,Mercado Unión y Dignidad Puno,Polideportivo Chanu Chanu Puno
2024-06-12,15:19:00,Mercado Unión y Dignidad Puno,Salcedo Puno
2024-06-12,16:12:00,Jayllihuaya Puno,Urbanización Alto Puno
2024-06-12,17:21:00,Hotel Libertador Lago Titicaca Puno,Cementerio Yanamayo Puno
2024-06-12,17:24:00,Jayllihuaya Puno,Av. Costanera Puno
2024-06-12,17:35:00,Estadio Enrique Torres Belón,Colegio Adventista Puno
2024-06-12,17:52:00,Municipalidad Provincial de Puno,Hospital Regional Manuel Núñez Butrón
