ID,Lugar de Origen,Coordenadas Origen,Lugar de Destino,Coordenadas Destino,Fecha,Hora de Salida,Distancia (km),Tiempo de Viaje (min)
21,Mercado Laykakota Puno,"-15.8465279,-70.0207765",Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",2024-10-17,22:29:00,0.8,2.59
22,Colegio Don Bosco Puno,"-15.8282,-70.0481",Iglesia San Juan Bautista Puno,"-15.841,-70.026",2024-10-26,03:08:00,3.83,10.06
23,Colegio Adventista Puno,"-15.8366071,-70.0291852",Mercado Central Bellavista Puno,"-15.8375174,-70.026609",2024-06-12,23:04:00,0.8,3.11
24,Plazuela 15 de Agosto Puno,"-15.839,-70.0265",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-10-06,23:34:00,0.8,3.15
25,Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",Real Plaza Puno,"-15.8426,-70.0141",2024-07-13,23:06:00,2.46,8.38
26,Plazuela Santa Rosa Puno,"-15.8385,-70.027",Municipalidad Provincial de Puno,"-15.84,-70.025",2024-08-02,07:48:00,0.8,2.53
27,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Polideportivo Chanu Chanu Puno,"-15.86,-70.014",2024-06-26,01:41:00,3.51,10.86
28,Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-10-07,08:44:00,0.8,2.83
29,Avenida Floral Puno,"-15.8268687,-70.0141471",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-06-01,20:33:00,2.31,9.59
30,Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",Colegio Don Bosco Puno,"-15.8282,-70.0481",2024-07-07,05:05:00,4.75,17.02
31,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Colegio Don Bosco Puno,"-15.8282,-70.0481",2024-06-26,21:57:00,5.7,21.08
32,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",2024-09-16,05:38:00,1.45,5.97
33,Urbanización Bellavista Puno,"-15.84,-70.028",Senati Puno,"-15.8699536,-69.9988485",2024-10-05,07:24:00,6.1,21.05
34,Urbanización Alto Puno,"-15.8282,-70.0481",Parque del Niño Puno,"-15.841,-70.024",2024-08-19,17:52:00,3.81,12.3
35,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Hospital Regional Manuel Núñez Butrón,"-15.8515,-70.018",2024-10-23,23:31:00,1.96,7.83
36,Real Plaza Puno,"-15.8426,-70.0141",Plazuela 15 de Agosto Puno,"-15.839,-70.0265",2024-08-02,06:32:00,1.91,6.56
37,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Isla Esteves Puno,"-15.8275387,-69.9925844",2024-08-03,07:08:00,5.25,16.5
38,Hospital ESSALUD Puno,"-15.84,-70.0213",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-09-14,03:04:00,1.2,3.84
39,Av. Costanera Puno,"-15.8399095,-70.0176539",Complejo Deportivo Alto Llavini Puno,"-15.847,-70.025",2024-06-13,21:26:00,1.49,4.64
40,Instituto de Cultura y Turismo de Puno,"-15.842,-70.0265",Parque del Niño Puno,"-15.841,-70.024",2024-10-12,10:11:00,0.8,4.42
41,Puerto Lacustre Puno,"-15.8491,-70.0185",Senati Puno,"-15.8699536,-69.9988485",2024-11-19,15:10:00,4.05,14.97
42,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-09-27,15:44:00,0.8,3.09
43,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Senati Puno,"-15.8699536,-69.9988485",2024-09-11,09:08:00,0.84,3.59
44,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-10-29,19:40:00,4.43,14.02
45,Complejo Deportivo Alto Llavini Puno,"-15.847,-70.025",Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",2024-11-15,13:42:00,0.8,3.34
46,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Hospital Regional Manuel Núñez Butrón,"-15.8515,-70.018",2024-10-01,01:06:00,2.62,8.23
47,Jayllihuaya Puno,"-15.8787471,-69.9751057",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-07-19,07:24:00,7.93,22.39
48,Isla Esteves Puno,"-15.8275387,-69.9925844",Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",2024-09-16,18:41:00,5.87,17.19
49,Terminal Terrestre Puno,"-15.848,-70.0146",Municipalidad Provincial de Puno,"-15.84,-70.025",2024-10-01,23:33:00,2.01,6.43
50,Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-06-19,10:48:00,3.55,10.38
51,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-10-27,04:55:00,3.84,10.92
52,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-10-03,00:26:00,0.85,2.55
53,Mercado Central Bellavista Puno,"-15.8375174,-70.026609",Instituto de Cultura y Turismo de Puno,"-15.842,-70.0265",2024-08-18,06:53:00,0.8,3.01
54,Avenida La Torre Puno,"-15.8336052,-70.0276202",Instituto de Cultura y Turismo de Puno,"-15.842,-70.0265",2024-06-15,03:50:00,1.24,4.14
55,Catedral Basílica de Puno,"-15.8409556,-70.029004",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-06-27,03:05:00,0.8,3.12
56,Puerto Muñoz Díaz Puno,"-15.8485,-70.019",Mercado Laykakota Puno,"-15.8465279,-70.0207765",2024-07-22,15:22:00,0.8,2.56
57,Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-11-22,09:50:00,0.8,2.75
58,Isla Esteves Puno,"-15.8275387,-69.9925844",Puerto Lacustre Puno,"-15.8491,-70.0185",2024-07-31,09:18:00,4.82,17.19
59,Polideportivo Chanu Chanu Puno,"-15.86,-70.014",Parque Pino Puno,"-15.8378073,-70.0280672",2024-06-16,00:19:00,3.71,11.44
60,Hotel Libertador Lago Titicaca Puno,"-15.838,-70.017",Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",2024-10-31,09:20:00,4.78,14.15
61,Urbanización Alto Puno,"-15.8282,-70.0481",Colegio Don Bosco Puno,"-15.8282,-70.0481",2024-10-14,22:10:00,0.8,2.68
62,Catedral Basílica de Puno,"-15.8409556,-70.029004",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-10-06,23:50:00,3.1,8.17
63,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Parque del Niño Puno,"-15.841,-70.024",2024-11-24,19:07:00,0.8,2.52
64,Municipalidad Provincial de Puno,"-15.84,-70.025",Urbanización Huajsapata Puno,"-15.856,-70.0235",2024-10-26,20:36:00,2.45,7.52
65,Urbanización Bellavista Puno,"-15.84,-70.028",Los Incas Puno,"-15.84,-70.028",2024-11-03,01:27:00,0.8,2.56
66,Avenida La Torre Puno,"-15.8336052,-70.0276202",Parque Pino Puno,"-15.8378073,-70.0280672",2024-06-17,23:35:00,0.8,2.76
67,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Colegio Don Bosco Puno,"-15.8282,-70.0481",2024-08-09,20:45:00,4.07,12.37
68,Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",Hotel Libertador Lago Titicaca Puno,"-15.838,-70.017",2024-11-25,08:33:00,1.13,3.71
69,Municipalidad Provincial de Puno,"-15.84,-70.025",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-08-09,19:41:00,0.8,3.07
70,Avenida Floral Puno,"-15.8268687,-70.0141471",Colegio Don Bosco Puno,"-15.8282,-70.0481",2024-06-11,20:24:00,5.02,15.69
71,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-06-04,21:56:00,3.6,13.49
72,Plazuela Santa Rosa Puno,"-15.8385,-70.027",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-10-11,23:23:00,1.02,3.07
73,Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",Real Plaza Puno,"-15.8426,-70.0141",2024-09-06,20:08:00,2.3,9.5
74,Los Incas Puno,"-15.84,-70.028",Parque Pino Puno,"-15.8378073,-70.0280672",2024-07-30,07:29:00,0.8,2.98
75,Gran Unidad Escolar San Carlos Puno,"-15.8385,-70.024",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-09-30,20:54:00,2.91,11.3
76,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-11-06,20:06:00,1.0,3.61
77,Iglesia San Juan Bautista Puno,"-15.841,-70.026",Colegio Don Bosco Puno,"-15.8282,-70.0481",2024-10-11,07:55:00,3.59,8.92
78,Puerto Lacustre Puno,"-15.8491,-70.0185",Urbanización Huajsapata Puno,"-15.856,-70.0235",2024-07-07,15:08:00,1.16,4.03
79,Plazuela 15 de Agosto Puno,"-15.839,-70.0265",Jirón Lima Puno,"-15.8387563,-70.0281599",2024-08-13,07:06:00,0.8,2.53
80,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Mercado Laykakota Puno,"-15.8465279,-70.0207765",2024-11-22,14:23:00,2.09,7.74
81,Complejo Deportivo Alto Llavini Puno,"-15.847,-70.025",Isla Esteves Puno,"-15.8275387,-69.9925844",2024-09-03,19:20:00,5.52,18.22
82,Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",Puerto Muñoz Díaz Puno,"-15.8485,-70.019",2024-09-02,17:12:00,0.8,2.99
83,Iglesia San Juan Bautista Puno,"-15.841,-70.026",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-08-23,18:06:00,1.49,5.85
84,Terminal Terrestre Puno,"-15.848,-70.0146",Senati Puno,"-15.8699536,-69.9988485",2024-06-16,23:48:00,4.17,13.8
85,Terminal Terrestre Puno,"-15.848,-70.0146",Municipalidad Provincial de Puno,"-15.84,-70.025",2024-10-28,17:13:00,1.82,6.13
86,Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",Jirón Lima Puno,"-15.8387563,-70.0281599",2024-10-31,01:09:00,1.19,4.56
87,Jirón Lima Puno,"-15.8387563,-70.0281599",Real Plaza Puno,"-15.8426,-70.0141",2024-10-31,11:20:00,2.16,8.03
88,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-07-17,04:32:00,3.78,12.47
89,Terminal Terrestre Puno,"-15.848,-70.0146",Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",2024-07-26,08:29:00,6.02,16.08
90,Terminal Terrestre Puno,"-15.848,-70.0146",Mercado Central Bellavista Puno,"-15.8375174,-70.026609",2024-09-21,02:55:00,2.3,8.81
91,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-11-20,18:23:00,0.97,3.86
92,Catedral Basílica de Puno,"-15.8409556,-70.029004",Instituto de Cultura y Turismo de Puno,"-15.842,-70.0265",2024-09-16,13:17:00,0.8,2.53
93,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Instituto de Cultura y Turismo de Puno,"-15.842,-70.0265",2024-08-01,06:05:00,0.8,2.65
94,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Instituto de Cultura y Turismo de Puno,"-15.842,-70.0265",2024-07-03,00:33:00,3.24,9.92
95,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Isla Esteves Puno,"-15.8275387,-69.9925844",2024-11-22,16:36:00,6.02,19.2
96,Jirón Lima Puno,"-15.8387563,-70.0281599",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-06-24,12:55:00,2.78,9.21
97,Jirón Lima Puno,"-15.8387563,-70.0281599",Real Plaza Puno,"-15.8426,-70.0141",2024-09-18,10:11:00,2.04,8.73
98,Jirón Lima Puno,"-15.8387563,-70.0281599",Av. Costanera Puno,"-15.8399095,-70.0176539",2024-06-07,04:24:00,1.54,5.0
99,Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-09-16,13:21:00,1.54,5.62
100,Los Incas Puno,"-15.84,-70.028",Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",2024-07-26,05:47:00,1.08,3.15
101,Parque Pino Puno,"-15.8378073,-70.0280672",Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",2024-08-24,00:53:00,1.42,4.71
102,Urbanización Bellavista Puno,"-15.84,-70.028",Instituto Americano Los Andes Puno,"-15.8375,-70.0245",2024-06-15,17:42:00,0.8,3.06
103,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Plazuela Santa Rosa Puno,"-15.8385,-70.027",2024-10-23,05:22:00,2.19,7.45
104,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Isla Esteves Puno,"-15.8275387,-69.9925844",2024-08-14,18:58:00,3.57,11.37
105,Plazuela 15 de Agosto Puno,"-15.839,-70.0265",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-07-07,04:11:00,2.91,9.59
106,Puerto Lacustre Puno,"-15.8491,-70.0185",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-07-13,18:47:00,1.88,7.58
107,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Senati Puno,"-15.8699536,-69.9988485",2024-11-10,07:34:00,5.9,20.75
108,Colegio Don Bosco Puno,"-15.8282,-70.0481",Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",2024-08-26,06:39:00,2.51,7.96
109,Urbanización Bellavista Puno,"-15.84,-70.028",Municipalidad Provincial de Puno,"-15.84,-70.025",2024-11-05,17:21:00,0.8,2.77
110,Hospital Regional Manuel Núñez Butrón,"-15.8515,-70.018",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-08-10,04:01:00,2.8,9.63
111,Avenida El Sol Puno,"-15.8458219,-70.0202123",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-06-07,17:23:00,0.8,3.14
112,Isla Esteves Puno,"-15.8275387,-69.9925844",Terminal Terrestre Puno,"-15.848,-70.0146",2024-11-27,09:57:00,4.22,11.24
113,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Puerto Lacustre Puno,"-15.8491,-70.0185",2024-09-06,23:53:00,0.8,2.95
114,Hotel Libertador Lago Titicaca Puno,"-15.838,-70.017",Plazuela Santa Rosa Puno,"-15.8385,-70.027",2024-06-03,23:58:00,1.45,4.93
115,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Complejo Deportivo Alto Llavini Puno,"-15.847,-70.025",2024-11-05,08:45:00,1.3,4.32
116,Avenida La Torre Puno,"-15.8336052,-70.0276202",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-08-19,10:16:00,2.98,10.21
117,Jayllihuaya Puno,"-15.8787471,-69.9751057",Municipalidad Provincial de Puno,"-15.84,-70.025",2024-07-17,00:01:00,8.41,28.05
118,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",2024-09-25,22:40:00,4.11,11.6
119,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Real Plaza Puno,"-15.8426,-70.0141",2024-07-14,20:19:00,1.43,5.29
120,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Senati Puno,"-15.8699536,-69.9988485",2024-10-19,07:38:00,5.69,15.43
121,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-06-25,13:12:00,4.29,11.09
122,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",2024-11-29,19:32:00,1.86,7.33
123,Jirón Lima Puno,"-15.8387563,-70.0281599",Av. Costanera Puno,"-15.8399095,-70.0176539",2024-07-31,17:04:00,1.5,5.39
124,Parque Pino Puno,"-15.8378073,-70.0280672",Gran Unidad Escolar San Carlos Puno,"-15.8385,-70.024",2024-07-07,14:30:00,0.8,2.76
125,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Polideportivo Chanu Chanu Puno,"-15.86,-70.014",2024-09-15,22:32:00,3.16,10.3
126,Polideportivo Chanu Chanu Puno,"-15.86,-70.014",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-07-22,11:38:00,5.51,19.94
127,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Complejo Deportivo Alto Llavini Puno,"-15.847,-70.025",2024-10-27,11:06:00,1.02,3.68
128,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Hospital Regional Manuel Núñez Butrón,"-15.8515,-70.018",2024-10-16,12:21:00,2.19,7.15
129,Real Plaza Puno,"-15.8426,-70.0141",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-11-22,16:41:00,4.12,14.36
130,Instituto de Cultura y Turismo de Puno,"-15.842,-70.0265",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-09-14,01:08:00,0.94,3.03
131,Colegio Adventista Puno,"-15.8366071,-70.0291852",Parque del Niño Puno,"-15.841,-70.024",2024-06-22,08:34:00,0.88,3.32
132,Colegio Adventista Puno,"-15.8366071,-70.0291852",Instituto Americano Los Andes Puno,"-15.8375,-70.0245",2024-10-15,09:24:00,0.8,3.17
133,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Polideportivo Chanu Chanu Puno,"-15.86,-70.014",2024-07-12,05:41:00,3.13,9.18
134,Salcedo Puno,"-15.8687992,-69.9986595",Plazuela Santa Rosa Puno,"-15.8385,-70.027",2024-08-28,14:49:00,6.04,21.56
135,Isla Esteves Puno,"-15.8275387,-69.9925844",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-09-23,17:35:00,3.45,9.49
136,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-10-12,03:08:00,0.8,2.73
137,Salcedo Puno,"-15.8687992,-69.9986595",Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",2024-07-07,22:55:00,5.87,22.21
138,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-11-09,11:20:00,4.05,14.46
139,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Urbanización Bellavista Puno,"-15.84,-70.028",2024-10-28,02:30:00,1.79,6.39
140,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Instituto de Cultura y Turismo de Puno,"-15.842,-70.0265",2024-11-10,19:22:00,4.7,17.23
141,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-11-07,18:56:00,1.08,4.03
142,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Parque del Niño Puno,"-15.841,-70.024",2024-11-05,16:44:00,3.91,13.16
143,Colegio Adventista Puno,"-15.8366071,-70.0291852",Iglesia San Juan Bautista Puno,"-15.841,-70.026",2024-07-21,17:03:00,0.8,2.72
144,Salcedo Puno,"-15.8687992,-69.9986595",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-07-24,08:44:00,0.91,3.15
145,Avenida Floral Puno,"-15.8268687,-70.0141471",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-07-04,10:18:00,2.33,8.27
146,Isla Esteves Puno,"-15.8275387,-69.9925844",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-06-25,04:23:00,6.49,19.78
147,Real Plaza Puno,"-15.8426,-70.0141",Puerto Muñoz Díaz Puno,"-15.8485,-70.019",2024-09-04,20:53:00,1.13,4.89
148,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Polideportivo Chanu Chanu Puno,"-15.86,-70.014",2024-11-11,09:24:00,3.15,8.34
149,Avenida El Sol Puno,"-15.8458219,-70.0202123",Puerto Lacustre Puno,"-15.8491,-70.0185",2024-06-15,17:07:00,0.8,3.12
150,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Puerto Muñoz Díaz Puno,"-15.8485,-70.019",2024-07-19,23:19:00,1.25,5.43
151,Jirón Lima Puno,"-15.8387563,-70.0281599",Mercado Central Bellavista Puno,"-15.8375174,-70.026609",2024-07-18,05:38:00,0.8,2.77
152,Puerto Muñoz Díaz Puno,"-15.8485,-70.019",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-08-31,13:11:00,1.19,4.31
153,Plazuela 15 de Agosto Puno,"-15.839,-70.0265",Isla Esteves Puno,"-15.8275387,-69.9925844",2024-09-30,14:11:00,5.01,18.89
154,Parque Pino Puno,"-15.8378073,-70.0280672",Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",2024-07-10,18:18:00,1.36,4.73
155,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-11-04,19:39:00,4.55,17.41
156,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Hospital Regional Manuel Núñez Butrón,"-15.8515,-70.018",2024-10-29,04:15:00,3.1,9.81
157,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Los Incas Puno,"-15.84,-70.028",2024-06-14,03:28:00,1.09,3.67
158,Catedral Basílica de Puno,"-15.8409556,-70.029004",Plazuela 15 de Agosto Puno,"-15.839,-70.0265",2024-09-12,19:46:00,0.8,2.95
159,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Hospital ESSALUD Puno,"-15.84,-70.0213",2024-06-23,17:47:00,3.21,9.1
160,Parque Pino Puno,"-15.8378073,-70.0280672",Hospital ESSALUD Puno,"-15.84,-70.0213",2024-10-29,15:07:00,0.93,3.34
161,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",2024-08-12,01:13:00,3.01,10.54
162,Av. Costanera Puno,"-15.8399095,-70.0176539",Instituto Americano Los Andes Puno,"-15.8375,-70.0245",2024-07-24,21:35:00,0.92,3.54
163,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",2024-10-05,17:52:00,0.95,3.8
164,Colegio Adventista Puno,"-15.8366071,-70.0291852",Urbanización Huajsapata Puno,"-15.856,-70.0235",2024-06-27,18:55:00,3.02,8.84
165,Parque Pino Puno,"-15.8378073,-70.0280672",Hospital Regional Manuel Núñez Butrón,"-15.8515,-70.018",2024-08-24,00:23:00,2.44,8.48
166,Real Plaza Puno,"-15.8426,-70.0141",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-08-27,17:21:00,1.43,5.47
167,Puerto Muñoz Díaz Puno,"-15.8485,-70.019",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-09-08,03:40:00,3.16,7.7
168,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Instituto de Cultura y Turismo de Puno,"-15.842,-70.0265",2024-08-22,21:16:00,1.2,3.85
169,Terminal Terrestre Puno,"-15.848,-70.0146",Parque del Niño Puno,"-15.841,-70.024",2024-10-05,08:53:00,1.71,6.2
170,Av. Costanera Puno,"-15.8399095,-70.0176539",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-10-02,02:33:00,3.17,11.15
171,Hospital ESSALUD Puno,"-15.84,-70.0213",Municipalidad Provincial de Puno,"-15.84,-70.025",2024-09-23,23:57:00,0.8,2.73
172,Los Incas Puno,"-15.84,-70.028",Parque Pino Puno,"-15.8378073,-70.0280672",2024-08-21,19:37:00,0.8,3.0
173,Instituto Americano Los Andes Puno,"-15.8375,-70.0245",Puerto Muñoz Díaz Puno,"-15.8485,-70.019",2024-06-23,04:09:00,1.8,6.35
174,Jayllihuaya Puno,"-15.8787471,-69.9751057",Urbanización Bellavista Puno,"-15.84,-70.028",2024-11-15,03:18:00,8.43,23.5
