ID,Lugar de Origen,Coordenadas Origen,Lugar de Destino,Coordenadas Destino,Fecha,Hora de Salida
78,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-08-18,18:57:00
79,Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",2024-08-15,15:12:00
80,Salcedo Puno,"-15.8687992,-69.9986595",Jr. Lima Puno,"-15.838756,-70.02816",2024-08-29,00:01:00
81,Avenida El Sol Puno,"-15.8458219,-70.0202123",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-09-19,18:45:00
82,Parque del Periodista Puno,"-15.839012,-70.023311",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-11-17,20:17:00
83,Parque del Niño Puno,"-15.858797,-70.012071",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-07-02,03:39:00
84,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Parque San Román Puno,"-15.841093,-70.029431",2024-11-28,03:00:00
85,Plaza Vea Puno,"-15.83636,-70.025604",Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",2024-08-21,11:02:00
86,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Municipalidad Provincial de Puno,"-15.840283,-70.028314",2024-09-21,14:32:00
87,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Jr. Tarapacá Puno,"-15.83755,-70.029158",2024-11-29,09:57:00
88,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-08-12,13:43:00
89,Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",Senati Puno,"-15.8699536,-69.9988485",2024-10-25,06:02:00
90,Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",Plaza Vea Puno,"-15.83636,-70.025604",2024-07-21,19:09:00
91,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-08-27,10:27:00
92,Colegio Don Bosco Puno,"-15.883085,-70.001176",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-09-29,14:14:00
93,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-08-30,18:09:00
94,Jr. Tarapacá Puno,"-15.83755,-70.029158",Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",2024-10-31,12:31:00
95,Puerto Lacustre Puno,"-15.835401,-70.014945",Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",2024-07-08,13:12:00
96,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",2024-07-30,07:58:00
97,Urbanización Huajsapata Puno,"-15.842445,-70.032551",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-07-13,09:30:00
98,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-11-07,16:38:00
99,Colegio Don Bosco Puno,"-15.883085,-70.001176",Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",2024-06-24,01:39:00
100,Avenida La Torre Puno,"-15.8336052,-70.0276202",Urbanización Alto Puno,"-15.814292,-70.031918",2024-08-30,06:20:00
101,Urbanización Alto Puno,"-15.814292,-70.031918",Jr. Tarapacá Puno,"-15.83755,-70.029158",2024-07-04,09:22:00
102,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Terminal Terrestre Puno,"-15.843678,-70.017225",2024-07-22,11:47:00
103,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-10-03,23:59:00
104,Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",Jr. Lima Puno,"-15.838756,-70.02816",2024-09-17,11:00:00
105,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-10-12,22:58:00
106,Urbanización Huajsapata Puno,"-15.842445,-70.032551",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-09-26,13:35:00
107,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-10-22,13:22:00
108,Parque Pino Puno,"-15.8378073,-70.0280672",Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",2024-06-27,11:19:00
109,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Jr. Lima Puno,"-15.838756,-70.02816",2024-07-01,23:51:00
110,Parque San Román Puno,"-15.841093,-70.029431",Jr. Lima Puno,"-15.838756,-70.02816",2024-11-06,20:41:00
111,Senati Puno,"-15.8699536,-69.9988485",Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",2024-07-26,17:31:00
112,Parque del Niño Puno,"-15.858797,-70.012071",Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",2024-06-14,09:49:00
113,Puerto Lacustre Puno,"-15.835401,-70.014945",Salcedo Puno,"-15.8687992,-69.9986595",2024-10-16,07:47:00
114,Avenida Floral Puno,"-15.8268687,-70.0141471",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-07-03,10:33:00
115,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-10-11,08:15:00
116,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",2024-07-19,07:05:00
117,Urbanización Alto Puno,"-15.814292,-70.031918",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-09-26,21:35:00
118,Plaza Vea Puno,"-15.83636,-70.025604",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-06-02,16:54:00
119,Parque Pino Puno,"-15.8378073,-70.0280672",Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",2024-10-04,08:47:00
120,Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-07-28,14:32:00
121,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",2024-10-20,19:10:00
122,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",2024-10-05,03:17:00
123,Puerto Lacustre Puno,"-15.835401,-70.014945",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-09-11,04:09:00
124,Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-10-15,20:08:00
125,Plaza Vea Puno,"-15.83636,-70.025604",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-08-15,03:03:00
126,Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",Parque Pino Puno,"-15.8378073,-70.0280672",2024-08-04,03:43:00
127,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Municipalidad Provincial de Puno,"-15.840283,-70.028314",2024-08-13,06:01:00
128,Mercado Bellavista Puno,"-15.8335335,-70.0233376",Plaza Vea Puno,"-15.83636,-70.025604",2024-09-14,20:31:00
129,Jr. Lima Puno,"-15.838756,-70.02816",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-11-12,12:47:00
130,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",2024-06-16,18:08:00
131,Parque San Román Puno,"-15.841093,-70.029431",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-10-07,14:29:00
132,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-08-29,04:40:00
133,Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",Senati Puno,"-15.8699536,-69.9988485",2024-07-09,12:35:00
134,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-06-30,02:54:00
135,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",2024-08-13,19:42:00
136,Parque San Román Puno,"-15.841093,-70.029431",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-08-27,03:27:00
137,Salcedo Puno,"-15.8687992,-69.9986595",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-08-26,09:01:00
138,Jr. Tarapacá Puno,"-15.83755,-70.029158",Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",2024-11-10,12:16:00
139,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",2024-10-03,11:01:00
140,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-07-10,05:53:00
141,Parque San Román Puno,"-15.841093,-70.029431",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-06-15,20:47:00
142,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Senati Puno,"-15.8699536,-69.9988485",2024-09-02,13:37:00
143,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",2024-08-11,05:24:00
144,Terminal Terrestre Puno,"-15.843678,-70.017225",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-06-26,03:00:00
145,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-08-11,23:17:00
146,Plaza Vea Puno,"-15.83636,-70.025604",Terminal Terrestre Puno,"-15.843678,-70.017225",2024-07-16,17:41:00
147,Puerto Lacustre Puno,"-15.835401,-70.014945",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-08-27,01:20:00
148,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",2024-11-23,19:20:00
149,Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",2024-09-10,16:02:00
150,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Jr. Tarapacá Puno,"-15.83755,-70.029158",2024-06-04,08:53:00
151,Plaza Vea Puno,"-15.83636,-70.025604",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-10-16,11:13:00
152,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-07-04,23:37:00
153,Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",Parque del Periodista Puno,"-15.839012,-70.023311",2024-07-10,03:00:00
154,Urbanización Huajsapata Puno,"-15.842445,-70.032551",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-10-13,02:35:00
155,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Colegio Don Bosco Puno,"-15.883085,-70.001176",2024-07-07,20:02:00
156,Puerto Lacustre Puno,"-15.835401,-70.014945",Hospital III EsSalud Puno,"-15.8734615,-70.0004113",2024-10-06,04:34:00
157,Jr. Lima Puno,"-15.838756,-70.02816",Av. Costanera Puno,"-15.8399095,-70.0176539",2024-10-05,18:54:00
158,Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-09-16,04:23:00
159,Avenida Floral Puno,"-15.8268687,-70.0141471",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-10-03,02:18:00
160,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-06-02,14:16:00
161,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-10-22,07:05:00
162,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-08-16,11:48:00
163,Av. Costanera Puno,"-15.8399095,-70.0176539",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-06-26,06:44:00
164,Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-10-12,03:39:00
165,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Plaza Vea Puno,"-15.83636,-70.025604",2024-07-13,05:46:00
166,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-06-24,19:31:00
167,Avenida Floral Puno,"-15.8268687,-70.0141471",Plaza Vea Puno,"-15.83636,-70.025604",2024-06-08,07:05:00
168,Ministerio de Cultura Puno,"-15.842631,-70.028915",Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",2024-10-19,07:42:00
169,Puerto Lacustre Puno,"-15.835401,-70.014945",Jr. Lima Puno,"-15.838756,-70.02816",2024-10-31,22:33:00
170,Parque San Román Puno,"-15.841093,-70.029431",Salcedo Puno,"-15.8687992,-69.9986595",2024-07-02,01:15:00
171,Jr. Los Incas Puno,"-15.836837,-70.024882",Plaza Vea Puno,"-15.83636,-70.025604",2024-06-20,12:03:00
172,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Parque del Periodista Puno,"-15.839012,-70.023311",2024-07-17,13:14:00
173,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-06-05,08:19:00
174,Avenida El Sol Puno,"-15.8458219,-70.0202123",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-08-14,22:05:00
175,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Plaza Vea Puno,"-15.83636,-70.025604",2024-07-26,10:34:00
176,Plaza Vea Puno,"-15.83636,-70.025604",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-10-30,23:23:00
177,Av. Costanera Puno,"-15.8399095,-70.0176539",Parque del Periodista Puno,"-15.839012,-70.023311",2024-11-28,05:09:00
178,Mercado Bellavista Puno,"-15.8335335,-70.0233376",Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",2024-06-29,14:43:00
179,Parque San Román Puno,"-15.841093,-70.029431",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-10-25,05:10:00
180,Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",Jr. Lima Puno,"-15.838756,-70.02816",2024-07-31,05:07:00
181,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Urbanización Alto Puno,"-15.814292,-70.031918",2024-08-20,16:22:00
182,Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-07-02,23:42:00
183,Jr. Lima Puno,"-15.838756,-70.02816",Plaza Vea Puno,"-15.83636,-70.025604",2024-06-24,11:48:00
184,Parque San Román Puno,"-15.841093,-70.029431",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-08-06,02:51:00
185,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Urbanización Bellavista Puno,"-15.832755,-70.022242",2024-08-30,17:40:00
186,Ministerio de Cultura Puno,"-15.842631,-70.028915",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-09-01,11:33:00
187,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Ministerio de Cultura Puno,"-15.842631,-70.028915",2024-08-25,18:59:00
188,Avenida Floral Puno,"-15.8268687,-70.0141471",Jr. Lima Puno,"-15.838756,-70.02816",2024-08-08,23:14:00
189,Parque del Niño Puno,"-15.858797,-70.012071",Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",2024-10-29,08:36:00
190,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-08-03,12:20:00
191,Plaza Vea Puno,"-15.83636,-70.025604",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-06-30,22:38:00
192,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-06-14,18:30:00
