Fecha,Hora de salida,Lugar de Origen,Lugar de Destino,ID
2024-06-04,07:48:00,Mercado Bellavista Puno,Avenida El Sol Puno,91
2024-06-04,07:52:00,Municipalidad Provincial de Puno,Mirador Kuntur Wasi Puno,92
2024-06-04,08:56:00,Jayllihuaya Puno,Avenida La Torre Puno,93
2024-06-04,09:02:00,Jr. Lima Puno,Instituto de Educación Superior Tecnológico Público Puno,94
2024-06-04,09:11:00,Mercado Unión y Dignidad Puno,Urbanización Alto Puno,95
2024-06-04,09:17:00,Cementerio Laykakota Puno,Parque San Román Puno,96
2024-06-04,09:47:00,Cementerio Yanamayo Puno,Universidad Andina Néstor Cáceres Velásquez Puno,97
2024-06-04,09:54:00,Terminal Zonal Sur Puno,Parque San Román Puno,98
2024-06-04,10:34:00,Urbanización Huajsapata Puno,Jayllihuaya Puno,99
2024-06-04,13:22:00,Parque del Niño Puno,Instituto Americano de Arte Puno,100
2024-06-04,14:22:00,Puerto Lacustre Puno,Puerto Lacustre Puno,101
2024-06-04,15:22:00,Jr. Lima Puno,Puerto Lacustre Puno,102
2024-06-04,16:18:00,Plaza Vea Puno,Mirador Kuntur Wasi Puno,103
2024-06-04,16:27:00,Terminal Terrestre Puno,Avenida El Sol Puno,104
2024-06-04,16:37:00,Polideportivo Chanu Chanu Puno,Jayllihuaya Puno,105
2024-06-04,16:37:00,Terminal Zonal Sur Puno,Avenida El Sol Puno,106
2024-06-04,18:08:00,Puerto Lacustre Puno,Parque del Periodista Puno,107
2024-06-04,18:18:00,Terminal Zonal Sur Puno,Urbanización Huajsapata Puno,108
2024-06-04,18:28:00,Gran Unidad Escolar San Carlos Puno,Puerto Lacustre Puno,109
2024-06-04,19:04:00,Plaza Vea Puno,Senati Puno,110
2024-06-04,20:48:00,Urbanización Bellavista Puno,Hotel Sonesta Posadas del Inca Puno,111
2024-06-04,22:34:00,Hotel Libertador Lago Titicaca Puno,Parque Pino Puno,112
2024-06-05,05:36:00,Avenida El Sol Puno,Complejo Deportivo Alto Llavini Puno,113
2024-06-05,06:06:00,Universidad Nacional del Altiplano,Avenida El Sol Puno,114
2024-06-05,06:30:00,Puerto Lacustre Puno,Gobierno Regional de Puno,115
2024-06-05,07:02:00,Cementerio Yanamayo Puno,Universidad Andina Néstor Cáceres Velásquez Puno,116
2024-06-05,07:12:00,Hospital III EsSalud Puno,Puerto Lacustre Puno,117
2024-06-05,07:20:00,Jr. Lima Puno,Terminal Terrestre Puno,118
2024-06-05,08:00:00,Parque Pino Puno,Gran Unidad Escolar San Carlos Puno,119
2024-06-05,08:18:00,Puerto Lacustre Puno,Hostal Mirador Korichasca Puno,120
2024-06-05,08:32:00,Mirador Kuntur Wasi Puno,Urbanización Chanu Chanu Puno,121
2024-06-05,09:11:00,Instituto Americano de Arte Puno,Avenida La Torre Puno,122
2024-06-05,09:51:00,Urbanización Bellavista Puno,Senati Puno,123
2024-06-05,11:26:00,Plaza Vea Puno,Polideportivo Chanu Chanu Puno,124
2024-06-05,11:47:00,Jr. Lima Puno,Plaza Vea Puno,125
2024-06-05,13:22:00,Senati Puno,Parque del Niño Puno,126
2024-06-05,14:01:00,Jr. Lima Puno,Avenida Floral Puno,127
2024-06-05,14:39:00,Plaza Vea Puno,Colegio Don Bosco Puno,128
2024-06-05,15:46:00,Jr. Tarapacá Puno,Complejo Deportivo Alto Llavini Puno,129
2024-06-05,17:02:00,Universidad Andina Néstor Cáceres Velásquez Puno,Terminal Zonal Sur Puno,130
2024-06-05,17:13:00,Puerto Lacustre Puno,Avenida Floral Puno,131
2024-06-05,18:03:00,Universidad Andina Néstor Cáceres Velásquez Puno,Avenida Floral Puno,132
2024-06-05,18:24:00,Institución Educativa San Juan Bautista Puno,Terminal Zonal Sur Puno,133
2024-06-05,19:28:00,Plaza Mayor de Puno,Municipalidad Provincial de Puno,134
2024-06-05,19:32:00,Urbanización Bellavista Puno,Senati Puno,135
2024-06-05,20:04:00,Urbanización Salcedo Puno,Municipalidad Provincial de Puno,136
2024-06-05,21:38:00,Cementerio Laykakota Puno,Plaza Vea Puno,137
2024-06-05,22:31:00,Hostal Mirador Korichasca Puno,Hospital Regional Manuel Núñez Butrón,138
2024-06-06,05:46:00,Parque Pino Puno,Mirador Kuntur Wasi Puno,139
2024-06-06,06:12:00,Jayllihuaya Puno,Urbanización Alto Puno,140
2024-06-06,06:25:00,Jr. Lima Puno,Mercado Laykakota Puno,141
2024-06-06,07:23:00,Parque del Periodista Puno,Hostal Mirador Korichasca Puno,142
2024-06-06,08:21:00,Puerto Lacustre Puno,Parque Pino Puno,143
2024-06-06,09:27:00,Mercado Laykakota Puno,Hospital Regional Manuel Núñez Butrón,144
2024-06-06,09:31:00,Hospital Regional Manuel Núñez Butrón,Universidad Nacional del Altiplano,145
2024-06-06,09:57:00,Puerto Lacustre Puno,Cementerio Laykakota Puno,146
2024-06-06,10:28:00,Puerto Lacustre Puno,Terminal Terrestre Puno,147
2024-06-06,10:42:00,Urbanización Chanu Chanu Puno,Gobierno Regional de Puno,148
2024-06-06,11:45:00,Jayllihuaya Puno,Parque Pino Puno,149
2024-06-06,12:37:00,Colegio Adventista Puno,Terminal Zonal Sur Puno,150
2024-06-06,13:31:00,Plaza Vea Puno,Hospital Regional Manuel Núñez Butrón,151
2024-06-06,14:33:00,Hostal Mirador Korichasca Puno,Urbanización Chanu Chanu Puno,152
2024-06-06,14:41:00,Av. Costanera Puno,Parque Mariátegui Puno,153
2024-06-06,15:20:00,Ministerio de Cultura Puno,Estadio Enrique Torres Belón,154
2024-06-06,17:10:00,Jr. Lima Puno,Urbanización Chanu Chanu Puno,155
2024-06-06,17:21:00,Jr. Lima Puno,Urbanización Bellavista Puno,156
2024-06-06,17:27:00,Mercado Bellavista Puno,Avenida La Torre Puno,157
2024-06-06,17:41:00,Hospital Regional Manuel Núñez Butrón,Plaza Mayor de Puno,158
2024-06-06,18:19:00,Terminal Zonal Sur Puno,Municipalidad Provincial de Puno,159
2024-06-06,18:24:00,Puerto Lacustre Puno,Hotel Sonesta Posadas del Inca Puno,160
2024-06-06,19:02:00,Hotel Libertador Lago Titicaca Puno,Ministerio de Cultura Puno,161
2024-06-06,19:10:00,Universidad Nacional del Altiplano,Colegio Don Bosco Puno,162
2024-06-06,19:26:00,Parque Mariátegui Puno,Terminal Terrestre Puno,163
2024-06-06,19:56:00,Parque del Periodista Puno,Plaza Mayor de Puno,164
2024-06-06,20:06:00,Mercado Bellavista Puno,Avenida El Sol Puno,165
2024-06-06,21:15:00,Hotel Sonesta Posadas del Inca Puno,Cementerio Laykakota Puno,166
2024-06-07,05:26:00,Colegio Glorioso San Carlos Puno,Universidad Nacional del Altiplano,167
2024-06-07,05:35:00,Cementerio Yanamayo Puno,Parque Mariátegui Puno,168
2024-06-07,06:17:00,Jr. Los Incas Puno,Hotel Libertador Lago Titicaca Puno,169
2024-06-07,06:17:00,Complejo Deportivo Alto Llavini Puno,Institución Educativa San Juan Bautista Puno,170
2024-06-07,07:03:00,Gran Unidad Escolar San Carlos Puno,Puerto Lacustre Puno,171
2024-06-07,07:32:00,Institución Educativa San Juan Bautista Puno,Estadio Enrique Torres Belón,172
2024-06-07,07:50:00,Instituto de Educación Superior Tecnológico Público Puno,Jr. Lima Puno,173
2024-06-07,08:51:00,Ministerio de Cultura Puno,Terminal Terrestre Puno,174
2024-06-07,10:15:00,Polideportivo Chanu Chanu Puno,Colegio Don Bosco Puno,175
2024-06-07,12:13:00,Gran Unidad Escolar San Carlos Puno,Puerto Lacustre Puno,176
2024-06-07,12:19:00,Municipalidad Provincial de Puno,Estadio Enrique Torres Belón,177
2024-06-07,12:56:00,Hospital III EsSalud Puno,Urbanización Salcedo Puno,178
2024-06-07,13:23:00,Mercado Bellavista Puno,Terminal Zonal Sur Puno,179
2024-06-07,15:44:00,Gobierno Regional de Puno,Universidad Nacional del Altiplano,180
2024-06-07,15:46:00,Colegio Glorioso San Carlos Puno,Estadio Enrique Torres Belón,181
2024-06-07,15:50:00,Plaza Mayor de Puno,Jayllihuaya Puno,182
2024-06-07,17:03:00,Plaza Vea Puno,Colegio Don Bosco Puno,183
2024-06-07,17:06:00,Complejo Deportivo Alto Llavini Puno,Parque del Periodista Puno,184
2024-06-07,17:20:00,Urbanización Huajsapata Puno,Urbanización Alto Puno,185
2024-06-07,17:27:00,Parque del Periodista Puno,Universidad Nacional del Altiplano,186
2024-06-07,17:30:00,Urbanización Salcedo Puno,Jr. Lima Puno,187
2024-06-07,17:55:00,Parque Mariátegui Puno,Urbanización Huajsapata Puno,188
2024-06-07,18:15:00,Hotel Libertador Lago Titicaca Puno,Avenida La Torre Puno,189
2024-06-07,18:17:00,Parque San Román Puno,Puerto Lacustre Puno,190
2024-06-07,19:32:00,Parque del Niño Puno,Colegio Don Bosco Puno,191
2024-06-07,19:45:00,Instituto de Educación Superior Tecnológico Público Puno,Colegio Don Bosco Puno,192
2024-06-07,21:00:00,Parque Pino Puno,Parque del Niño Puno,193
2024-06-07,21:35:00,Avenida La Torre Puno,Parque Mariátegui Puno,194
2024-06-08,05:38:00,Hotel Sonesta Posadas del Inca Puno,Puerto Lacustre Puno,195
2024-06-08,06:04:00,Puerto Lacustre Puno,Hospital III EsSalud Puno,196
2024-06-08,06:14:00,Cementerio Yanamayo Puno,Hotel Libertador Lago Titicaca Puno,197
2024-06-08,06:17:00,Parque Pino Puno,Hospital Regional Manuel Núñez Butrón,198
2024-06-08,06:38:00,Hotel Sonesta Posadas del Inca Puno,Parque San Román Puno,199
2024-06-08,07:35:00,Hotel Libertador Lago Titicaca Puno,Centro de Salud Metropolitano Puno,200
2024-06-08,08:39:00,Jayllihuaya Puno,Parque Mariátegui Puno,201
2024-06-08,08:41:00,Estadio Enrique Torres Belón,Colegio Don Bosco Puno,202
2024-06-08,08:43:00,Salcedo Puno,Jr. Los Incas Puno,203
2024-06-08,08:43:00,Avenida La Torre Puno,Urbanización Chanu Chanu Puno,204
2024-06-08,09:22:00,Plaza Vea Puno,Estadio Enrique Torres Belón,205
2024-06-08,09:43:00,Parque San Román Puno,Urbanización Salcedo Puno,206
2024-06-08,09:45:00,Polideportivo Chanu Chanu Puno,Universidad Nacional del Altiplano,207
2024-06-08,09:48:00,Colegio Adventista Puno,Salcedo Puno,208
2024-06-08,09:58:00,Terminal Terrestre Puno,Hotel Libertador Lago Titicaca Puno,209
2024-06-08,11:15:00,Gobierno Regional de Puno,Hospital Regional Manuel Núñez Butrón,210
2024-06-08,11:24:00,Salcedo Puno,Jayllihuaya Puno,211
2024-06-08,11:24:00,Avenida Floral Puno,Parque Mariátegui Puno,212
2024-06-08,11:58:00,Ministerio de Cultura Puno,Colegio María Auxiliadora Puno,213
2024-06-08,11:59:00,Avenida El Sol Puno,Puerto Lacustre Puno,214
2024-06-08,12:49:00,Hotel Libertador Lago Titicaca Puno,Universidad Andina Néstor Cáceres Velásquez Puno,215
2024-06-08,12:54:00,Gran Unidad Escolar San Carlos Puno,Hotel Libertador Lago Titicaca Puno,216
2024-06-08,16:42:00,Puerto Lacustre Puno,Urbanización Huajsapata Puno,217
2024-06-08,17:27:00,Colegio Don Bosco Puno,Institución Educativa San Juan Bautista Puno,218
2024-06-08,17:29:00,Parque Mariátegui Puno,Colegio Glorioso San Carlos Puno,219
2024-06-08,17:35:00,Colegio Glorioso San Carlos Puno,Parque Pino Puno,220
2024-06-08,17:43:00,Instituto de Educación Superior Tecnológico Público Puno,Jr. Lima Puno,221
2024-06-08,19:05:00,Complejo Deportivo Alto Llavini Puno,Centro de Salud Metropolitano Puno,222
2024-06-08,19:37:00,Puerto Lacustre Puno,Mirador Kuntur Wasi Puno,223
2024-06-08,19:55:00,Plaza Vea Puno,Cementerio Laykakota Puno,224
2024-06-08,22:21:00,Cementerio Yanamayo Puno,Universidad Andina Néstor Cáceres Velásquez Puno,225
2024-06-09,06:18:00,Urbanización Alto Puno,Avenida El Sol Puno,226
2024-06-09,06:19:00,Parque Pino Puno,Urbanización Huajsapata Puno,227
2024-06-09,06:23:00,Parque del Niño Puno,Cementerio Laykakota Puno,228
2024-06-09,06:24:00,Parque Pino Puno,Senati Puno,229
2024-06-09,07:17:00,Mirador Kuntur Wasi Puno,Urbanización Chanu Chanu Puno,230
2024-06-09,07:30:00,Urbanización Alto Puno,Terminal Zonal Sur Puno,231
2024-06-09,08:05:00,Urbanización Chanu Chanu Puno,Instituto Americano de Arte Puno,232
2024-06-09,08:27:00,Urbanización Huajsapata Puno,Jayllihuaya Puno,233
2024-06-09,08:44:00,Colegio Don Bosco Puno,Ministerio de Cultura Puno,234
2024-06-09,09:10:00,Colegio Glorioso San Carlos Puno,Institución Educativa San Juan Bautista Puno,235
2024-06-09,11:13:00,Hospital Regional Manuel Núñez Butrón,Complejo Deportivo Alto Llavini Puno,236
2024-06-09,11:51:00,Urbanización Chanu Chanu Puno,Jr. Tarapacá Puno,237
2024-06-09,11:54:00,Jayllihuaya Puno,Universidad Nacional del Altiplano,238
2024-06-09,12:07:00,Parque San Román Puno,Puerto Lacustre Puno,239
2024-06-09,12:10:00,Parque Pino Puno,Mercado Unión y Dignidad Puno,240
2024-06-09,15:06:00,Jr. Lima Puno,Mirador Puma Uta Puno,241
2024-06-09,15:13:00,Mercado Unión y Dignidad Puno,Jr. Lima Puno,242
2024-06-09,15:13:00,Hotel Libertador Lago Titicaca Puno,Terminal Terrestre Puno,243
2024-06-09,15:22:00,Colegio Don Bosco Puno,Urbanización Chanu Chanu Puno,244
2024-06-09,15:30:00,Urbanización Bellavista Puno,Jr. Lima Puno,245
2024-06-09,16:17:00,Mercado Laykakota Puno,Jr. Los Incas Puno,246
2024-06-09,17:12:00,Puerto Lacustre Puno,Gran Unidad Escolar San Carlos Puno,247
2024-06-09,17:28:00,Estadio Enrique Torres Belón,Hospital III EsSalud Puno,248
2024-06-09,17:53:00,Puerto Lacustre Puno,Plaza Mayor de Puno,249
2024-06-09,18:16:00,Avenida La Torre Puno,Plaza Vea Puno,250
2024-06-09,19:03:00,Estadio Enrique Torres Belón,Gran Unidad Escolar San Carlos Puno,251
2024-06-09,19:20:00,Jayllihuaya Puno,Universidad Nacional del Altiplano,252
2024-06-09,19:59:00,Instituto Americano de Arte Puno,Hospital Regional Manuel Núñez Butrón,253
2024-06-09,22:34:00,Plaza Mayor de Puno,Hostal Mirador Korichasca Puno,254
2024-06-10,05:41:00,Terminal Zonal Sur Puno,Municipalidad Provincial de Puno,255
2024-06-10,06:18:00,Cementerio Laykakota Puno,Urbanización Salcedo Puno,256
2024-06-10,06:29:00,Parque Pino Puno,Puerto Lacustre Puno,257
2024-06-10,07:15:00,Urbanización Chanu Chanu Puno,Urbanización Salcedo Puno,258
2024-06-10,07:42:00,Municipalidad Provincial de Puno,Gobierno Regional de Puno,259
2024-06-10,07:49:00,Gobierno Regional de Puno,Colegio Don Bosco Puno,260
2024-06-10,08:14:00,Hotel Libertador Lago Titicaca Puno,Urbanización Huajsapata Puno,261
2024-06-10,08:25:00,Instituto Americano de Arte Puno,Parque Pino Puno,262
2024-06-10,09:11:00,Urbanización Chanu Chanu Puno,Plaza Vea Puno,263
2024-06-10,11:22:00,Urbanización Salcedo Puno,Ministerio de Cultura Puno,264
2024-06-10,12:33:00,Municipalidad Provincial de Puno,Urbanización Huajsapata Puno,265
2024-06-10,13:39:00,Hotel Libertador Lago Titicaca Puno,Mirador Puma Uta Puno,266
2024-06-10,13:46:00,Colegio María Auxiliadora Puno,Instituto de Educación Superior Tecnológico Público Puno,267
2024-06-10,14:37:00,Mercado Laykakota Puno,Jr. Lima Puno,268
2024-06-10,16:28:00,Terminal Zonal Sur Puno,Plaza Mayor de Puno,269
2024-06-10,17:33:00,Polideportivo Chanu Chanu Puno,Colegio Glorioso San Carlos Puno,270
2024-06-10,17:41:00,Hostal Mirador Korichasca Puno,Colegio María Auxiliadora Puno,271
2024-06-10,18:50:00,Urbanización Alto Puno,Jr. Tarapacá Puno,272
2024-06-10,19:03:00,Parque Mariátegui Puno,Gobierno Regional de Puno,273
2024-06-10,19:30:00,Urbanización Huajsapata Puno,Jr. Los Incas Puno,274
2024-06-10,19:57:00,Instituto de Educación Superior Tecnológico Público Puno,Jayllihuaya Puno,275
2024-06-10,19:59:00,Urbanización Alto Puno,Hotel Sonesta Posadas del Inca Puno,276
2024-06-10,20:33:00,Cementerio Laykakota Puno,Jr. Tarapacá Puno,277
2024-06-10,21:34:00,Centro de Salud Metropolitano Puno,Universidad Andina Néstor Cáceres Velásquez Puno,278
2024-06-11,06:44:00,Salcedo Puno,Urbanización Chanu Chanu Puno,279
2024-06-11,07:34:00,Universidad Nacional del Altiplano,Avenida El Sol Puno,280
2024-06-11,07:57:00,Parque del Periodista Puno,Mirador Kuntur Wasi Puno,281
2024-06-11,08:00:00,Plaza Vea Puno,Polideportivo Chanu Chanu Puno,282
2024-06-11,08:04:00,Urbanización Alto Puno,Centro de Salud Metropolitano Puno,283
2024-06-11,08:04:00,Mirador Puma Uta Puno,Centro de Salud Metropolitano Puno,284
2024-06-11,09:00:00,Instituto de Educación Superior Tecnológico Público Puno,Jr. Los Incas Puno,285
2024-06-11,09:02:00,Plaza Mayor de Puno,Universidad Nacional del Altiplano,286
2024-06-11,09:10:00,Gobierno Regional de Puno,Hostal Mirador Korichasca Puno,287
2024-06-11,09:16:00,Plaza Mayor de Puno,Gobierno Regional de Puno,288
2024-06-11,09:18:00,Hospital III EsSalud Puno,Parque Mariátegui Puno,289
2024-06-11,09:24:00,Jayllihuaya Puno,Salcedo Puno,290
2024-06-11,11:10:00,Puerto Lacustre Puno,Urbanización Huajsapata Puno,291
2024-06-11,11:56:00,Gobierno Regional de Puno,Urbanización Salcedo Puno,292
2024-06-11,12:15:00,Terminal Zonal Sur Puno,Municipalidad Provincial de Puno,293
2024-06-11,12:23:00,Jr. Lima Puno,Parque San Román Puno,294
2024-06-11,12:58:00,Parque Pino Puno,Salcedo Puno,295
2024-06-11,13:30:00,Plaza Vea Puno,Parque San Román Puno,296
2024-06-11,14:34:00,Parque San Román Puno,Terminal Zonal Sur Puno,297
2024-06-11,17:26:00,Urbanización Huajsapata Puno,Complejo Deportivo Alto Llavini Puno,298
2024-06-11,17:48:00,Colegio Don Bosco Puno,Jayllihuaya Puno,299
2024-06-11,18:16:00,Universidad Nacional del Altiplano,Puerto Lacustre Puno,300
2024-06-11,18:30:00,Universidad Nacional del Altiplano,Urbanización Salcedo Puno,301
2024-06-11,19:57:00,Urbanización Chanu Chanu Puno,Colegio Glorioso San Carlos Puno,302
2024-06-12,05:04:00,Puerto Lacustre Puno,Gobierno Regional de Puno,303
2024-06-12,06:11:00,Urbanización Salcedo Puno,Gobierno Regional de Puno,304
2024-06-12,07:05:00,Jayllihuaya Puno,Hostal Mirador Korichasca Puno,305
2024-06-12,07:13:00,Mercado Unión y Dignidad Puno,Plaza Mayor de Puno,306
2024-06-12,07:29:00,Terminal Zonal Sur Puno,Jr. Lima Puno,307
2024-06-12,08:58:00,Jr. Lima Puno,Instituto Americano de Arte Puno,308
2024-06-12,09:17:00,Hospital Regional Manuel Núñez Butrón,Parque Pino Puno,309
2024-06-12,09:39:00,Salcedo Puno,Urbanización Huajsapata Puno,310
2024-06-12,09:58:00,Estadio Enrique Torres Belón,Jr. Lima Puno,311
2024-06-12,10:31:00,Urbanización Bellavista Puno,Cementerio Yanamayo Puno,312
2024-06-12,10:52:00,Mercado Laykakota Puno,Universidad Andina Néstor Cáceres Velásquez Puno,313
2024-06-12,11:56:00,Plaza Mayor de Puno,Cementerio Laykakota Puno,314
2024-06-12,12:34:00,Hotel Libertador Lago Titicaca Puno,Hostal Mirador Korichasca Puno,315
2024-06-12,12:51:00,Cementerio Yanamayo Puno,Instituto de Educación Superior Tecnológico Público Puno,316
